Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	PolicyLoss	ValueLoss	Entropy	AvgKL	StopIter
1	-36.98927	50.86591	38.244377	-116.61904	361.63635	0.3006832	0.57722217	2.5750005	-2.247448	5000	-0.12608935	162.88406	3.0363944	0.009786974	79.0
2	-6.730583	46.648834	53.558018	-135.69495	176.58333	-9.508172	3.1620677	-0.20599389	-27.440044	10000	-0.12632346	99.19649	3.0413785	0.044505067	79.0
3	-3.4268067	26.483913	31.005575	-81.586235	173.73685	-5.2854123	4.7703648	8.837233	-31.526863	15000	-0.14072873	191.63387	3.034168	0.021489441	79.0
4	-11.932884	48.31295	54.46669	-129.01602	253.8	-4.6015906	5.1833105	21.950825	-34.76643	20000	-0.13420676	120.97987	3.037596	0.050736528	79.0
5	7.0665345	25.787445	76.766815	-27.1662	162.26666	0.7106496	11.94558	39.904938	-37.611168	25000	-0.14214131	131.19812	2.9734273	0.04074544	79.0
6	13.1246805	56.018063	86.46103	-133.44852	272.54544	-1.6891664	6.2606244	22.41234	-27.517708	30000	-0.14045185	138.40921	2.9658098	0.049962938	79.0
7	10.611082	33.143353	93.746376	-57.152412	266.72223	0.30866817	8.451672	44.146164	-32.08812	35000	-0.14085703	69.051315	2.932419	0.041442815	79.0
8	39.32786	53.03884	180.87126	-23.174656	255.0	3.8718991	8.834534	33.953247	-25.754257	40000	-0.14344175	100.82378	2.9318092	0.05480888	79.0
9	12.739337	31.024822	87.15447	-23.39137	282.0	4.225469	7.768202	27.460407	-19.86176	45000	-0.13741364	76.892235	2.8810933	0.018720936	79.0
10	16.81821	20.588385	64.77765	-12.9253025	326.9	-0.07750522	6.683257	34.90002	-32.026737	50000	-0.12923843	83.57455	2.850322	0.022361055	79.0
11	23.220335	32.073074	108.71872	-10.170475	201.09091	2.9998949	6.436015	26.325382	-27.701073	55000	-0.13918437	71.27226	2.8351529	0.04115586	79.0
12	31.58374	26.48071	97.87508	-11.816429	181.38889	5.4418826	7.209127	32.687027	-18.40305	60000	-0.14296977	87.02761	2.7935965	0.06668961	79.0
13	31.134043	36.216084	108.93312	-13.424354	196.64285	10.870183	5.6517553	41.47235	-13.930933	65000	-0.14204612	123.22378	2.74782	0.04718857	79.0
14	43.81134	40.775074	132.86888	-4.201845	260.53845	7.703366	8.526289	36.653927	-21.103546	70000	-0.14698012	99.273575	2.7304733	0.0460232	79.0
15	43.91853	68.579956	157.49742	-47.568413	544.3333	9.656414	4.977078	30.699286	-9.522028	75000	-0.14471757	85.98449	2.689875	0.02373497	79.0
