Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LogPi	LossPi	LossQ	Alpha	LossAlpha	Time
1	-49.802692	95.67882	18.197536	-353.02637	-151.33913	290.98975	2.8008826	-937.849	165.33333	179.75	4999	7.4205523	6.0131755	7.4216256	6.0174937	-1.5456433	-8.756089	1.0328963	0.1302564	1.3208567	38.570317029953
2	-54.13707	114.73093	26.695082	-391.38068	-126.33079	266.71735	-2.9463136	-1241.8914	180.66667	92.65	9999	39.79097	16.154482	39.791965	16.159393	6.7546015	-42.823147	7.370725	0.071657516	0.09759187	81.91763162612915
3	-285.65457	345.60748	-17.133598	-1066.3921	-9.669534	41.058624	98.85198	-97.58321	468.8	400.4	14999	70.6183	10.342715	70.61678	10.345303	6.829334	-72.26588	13.218072	0.045311317	0.052854445	127.88462734222412
4	-40.472275	60.100105	19.095533	-203.42944	4.294631	60.896	112.65235	-214.02437	325.06668	416.45	19999	64.299484	11.095056	64.29929	11.101998	7.76885	-65.196396	8.7786	0.020816687	0.0051992023	173.92767357826233
5	-18.85032	42.153893	31.12889	-105.6163	9.413877	122.13417	220.02644	-426.96075	450.16666	335.55	24999	53.783264	10.679075	53.783543	10.679687	7.9504905	-54.4271	5.731114	0.015223816	0.0007586607	220.03795981407166
6	29.544134	63.354004	164.20744	-125.48386	231.32288	168.56013	697.0563	5.862802	363.0	625.25	29999	45.505886	9.000943	45.506596	9.000344	7.9796553	-46.045635	4.0653257	0.012732981	0.00025804137	266.1811923980713
7	151.05115	179.06679	554.51404	-2.287969	265.74854	215.40572	695.267	24.92864	467.16666	516.2	34999	38.949608	7.541734	38.949966	7.54184	7.986573	-39.402287	3.2790642	0.011192826	0.00015461209	312.01699113845825
8	214.72226	193.95653	583.4544	14.184341	225.9229	264.11417	712.1384	4.0309186	529.375	360.3	39999	35.04764	6.865741	35.04815	6.86391	7.9981923	-35.464783	2.7915952	0.010768196	2.1017677e-05	358.3724105358124
9	259.29855	236.83488	614.29565	19.608374	370.53842	279.0817	763.9123	3.374914	509.18182	587.55	44999	33.24078	6.819549	33.241367	6.817735	8.005384	-33.64641	2.6053092	0.010786093	-5.756906e-05	404.8231294155121
10	270.6975	246.44554	727.3604	22.083426	383.45892	296.2127	802.42413	-2.375455	459.81818	577.1	49999	33.41542	7.180832	33.415558	7.1776476	8.012611	-33.821087	2.4613469	0.0116799725	-0.00014617568	451.5412628650665
11	396.6593	306.63092	736.41504	14.1574335	318.8449	276.30252	813.23737	25.834425	567.875	503.25	54999	34.9179	7.680216	34.9181	7.675328	8.015277	-35.323208	2.3281207	0.01298918	-0.0001960178	498.3086862564087
12	273.89282	280.83182	722.76044	2.4233537	325.65912	347.37708	877.75543	5.180682	619.125	412.85	59999	37.173847	8.113591	37.173744	8.111731	8.006758	-37.575726	2.2602632	0.014071249	-9.285321e-05	545.1283814907074
13	346.49146	274.24478	798.1886	34.53302	454.3355	334.34448	831.11255	16.793777	426.25	612.8	64999	39.745464	8.506819	39.74515	8.507499	8.008839	-40.132946	2.347083	0.014631915	-0.00012907857	592.1305179595947
14	432.2985	269.2296	770.5671	42.899193	471.1914	349.18195	907.47003	32.828495	739.7143	568.3	69999	42.386208	8.604692	42.386105	8.606268	8.002534	-42.77509	2.1978014	0.015399603	-3.6971916e-05	638.9302084445953
15	550.1407	261.48077	838.82434	151.98627	658.32	269.25443	934.00195	6.7657685	762.4286	780.3	74999	45.0222	8.793996	45.021736	8.794941	8.004652	-45.399345	2.0409214	0.015940065	-7.155292e-05	685.6182882785797
16	678.92194	276.72684	897.81415	70.59855	384.59897	306.42078	839.1447	14.573567	845.1667	498.8	79999	47.30312	9.037775	47.30286	9.038097	8.005716	-47.651768	2.0020528	0.016531264	-9.206542e-05	732.5540368556976
17	538.6481	317.69067	872.75964	83.41836	559.79816	347.46466	967.31995	44.5284	635.125	645.85	84999	49.57419	9.274613	49.573933	9.274517	8.007417	-49.91831	2.0741763	0.017273957	-0.00012582402	779.2317917346954
18	464.25375	368.59326	847.71185	7.0403996	461.1259	349.40668	964.4295	44.33081	558.375	539.55	89999	51.835358	9.401503	51.835274	9.401209	8.002617	-52.156258	2.1056774	0.017780207	-4.529851e-05	826.0027570724487
19	392.94504	310.19473	892.3709	33.90141	657.1867	315.51535	981.24255	6.46068	525.2	726.6	94999	53.587276	9.349879	53.587017	9.351167	8.000583	-53.88585	2.149635	0.017811103	-9.189993e-06	872.9931704998016
20	415.45914	350.39386	872.9342	36.57157	494.2685	362.87003	1088.8933	14.045782	483.3	546.05	99999	55.144054	9.065193	55.143795	9.065651	7.9944687	-55.425037	2.2219946	0.01752971	0.00010011505	919.8286666870117
21	664.55206	310.51187	1038.9347	80.998856	645.3224	398.75247	1235.961	-7.1537104	769.1429	686.4	104999	56.36735	8.8795805	56.367214	8.879317	8.00356	-56.634163	2.1143262	0.017643746	-6.123225e-05	966.6986620426178
22	420.8262	309.39185	887.1712	43.890697	708.8497	339.5128	1139.6898	25.89668	444.72726	738.7	109999	57.811337	9.115449	57.811207	9.1190195	7.9984937	-58.068607	2.2513497	0.017824015	2.8205484e-05	1013.4856064319611
23	719.0742	325.9233	1108.1477	77.366875	446.63947	355.12186	1002.23676	42.531986	760.8333	493.5	114999	59.1512	9.415015	59.15085	9.418576	7.997428	-59.402824	2.2509437	0.017469397	4.670608e-05	1060.324675321579
24	543.65625	333.96265	889.2672	81.0859	722.2171	326.0567	1038.1049	16.531033	586.75	713.0	119999	60.636005	9.792188	60.635838	9.795462	8.00345	-60.893562	2.1837106	0.01774203	-5.891869e-05	1107.3491089344025
25	410.87335	394.26935	1014.2301	4.915881	858.9634	317.68854	1501.6888	146.00998	437.30768	820.75	124999	62.192444	10.281221	62.191956	10.284022	7.997665	-62.449856	2.4554765	0.017556844	4.315378e-05	1154.1115930080414
26	787.47516	200.76035	987.67725	423.08652	975.9492	175.45679	1291.1943	607.49225	822.0	928.2	129999	63.63618	10.757591	63.636013	10.757383	8.002426	-63.882996	2.4040318	0.017756144	-4.1434814e-05	1200.7162351608276
27	658.4262	460.19913	1285.6132	20.310753	842.9471	455.21558	1652.1821	157.4923	567.6667	693.25	134999	65.03571	11.475334	65.03543	11.477685	8.000114	-65.27273	2.4765825	0.017456919	-5.2016975e-07	1247.0323839187622
28	845.0305	374.14957	1183.5104	33.3967	847.5304	412.8788	1658.9386	52.24304	838.6667	707.45	139999	66.3952	12.02091	66.39511	12.022916	8.000473	-66.63118	2.609236	0.017442001	-7.0073306e-06	1293.7987787723541
29	448.36853	360.95837	965.81323	11.46921	510.47568	396.62198	1160.7484	27.135252	432.25	492.6	144999	67.78209	12.556293	67.78175	12.554589	7.9999695	-68.02546	2.6616566	0.017617676	2.5852971e-06	1340.5957803726196
30	536.06555	405.38736	1055.6561	28.039114	775.8725	338.4602	1109.9412	41.396812	520.8889	768.25	149999	69.230705	13.267813	69.23027	13.267749	7.9987884	-69.475235	2.831532	0.017776892	2.3022116e-05	1387.3971939086914
31	933.69696	413.80365	1472.778	101.10813	716.8459	449.46576	1589.751	64.10955	846.8333	546.25	154999	70.54195	14.069375	70.541824	14.069219	8.001375	-70.77853	2.8773174	0.017932719	-2.305852e-05	1434.053942680359
32	563.3231	391.47794	1121.2957	51.075382	706.7517	508.67242	1547.1754	29.597584	460.72726	611.55	159999	72.050354	15.088951	72.0503	15.089951	7.9998198	-72.29022	2.9633625	0.018025488	4.662247e-06	1480.4656870365143
33	685.0482	504.74683	1761.1781	78.401764	770.5994	396.8302	1421.4552	73.516846	577.5	699.45	164999	73.288216	16.087692	73.28794	16.087973	8.001667	-73.51562	3.126011	0.017991576	-2.8643584e-05	1527.2238762378693
34	580.44977	446.60416	1169.2075	48.771324	968.3451	468.60013	1735.4526	118.47895	579.8889	824.35	169999	74.121124	17.01928	74.12112	17.020061	7.998035	-74.34418	3.1050735	0.01818086	3.659175e-05	1573.8501329421997
35	911.8439	494.68356	1669.8613	48.119446	1169.452	464.33942	1879.0786	104.21054	755.0	876.65	174999	75.01658	18.127012	75.01631	18.129568	8.006134	-75.23694	3.367065	0.018466994	-0.0001108819	1620.2792513370514
36	750.345	436.5863	1287.2274	131.15956	1604.3942	565.30475	2182.9675	206.59335	603.625	899.75	179999	76.03902	19.19088	76.03868	19.193336	8.002741	-76.25375	3.4337273	0.01899573	-5.0660277e-05	1666.42151761055
37	1514.156	576.75183	2080.567	448.71735	1447.2565	581.64417	2152.3997	61.088818	848.8	860.25	184999	77.47301	20.61244	77.47279	20.614805	7.9991693	-77.69038	3.5119	0.018904775	1.7449414e-05	1712.7809026241302
38	1299.2811	604.1083	2019.7153	169.02945	1226.6605	644.6579	2149.9536	129.05775	845.1667	749.75	189999	79.284874	22.21858	79.28455	22.22127	8.00107	-79.503136	3.6644843	0.019349448	-1.8963628e-05	1759.1140267848969
39	1175.9326	403.31506	2018.0294	776.1291	1685.3894	547.15027	2358.875	929.3923	818.7143	928.25	194999	80.88538	23.9434	80.88501	23.944359	8.005723	-81.1094	3.892532	0.019770047	-0.00011176393	1805.4825990200043
40	1897.3248	384.67093	2381.7927	1223.5134	1945.759	448.97324	2351.05	933.1459	915.0	973.4	199999	82.8743	25.956865	82.874054	25.957933	7.997714	-83.10164	4.052677	0.020080777	4.7417074e-05	1851.5302028656006
41	1760.9093	601.3256	2364.1094	637.95123	2323.6177	321.91583	2693.7124	1381.7874	836.1667	977.9	204999	85.7196	28.675282	85.719246	28.676342	8.008155	-85.965096	4.3492975	0.0205395	-0.0001666951	1897.3196988105774
42	1274.1346	915.31104	2306.871	18.35948	2300.0562	441.31213	2545.557	898.1691	682.125	1000.0	209999	88.763016	31.729252	88.76263	31.730268	8.004966	-89.02303	4.7442985	0.021605533	-0.00010702946	1943.3483543395996
43	2112.0923	579.5596	2533.2532	975.00134	2445.8188	122.73055	2589.4866	2012.4265	1000.0	1000.0	214999	91.9285	34.910255	91.92819	34.911274	7.9988084	-92.19948	5.255598	0.022020224	2.8270095e-05	1989.168297290802
