Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LossPi	LossQ	Time
1	-36.91474	64.81897	37.34698	-305.09937	-428.56104	525.9249	358.28314	-1257.277	115.81396	448.3	4999	1.8627415	3.6268616	1.8629489	3.6268487	-3.0600426	0.21857227	40.50199818611145
2	-57.488632	85.708206	15.124294	-362.56177	-334.01712	731.6247	-15.32708	-2546.1926	154.88889	135.2	9999	20.570642	11.227691	20.57074	11.22767	-24.399427	1.7664852	86.59759140014648
3	-100.55589	247.05309	41.242664	-1321.2883	-45.136448	116.19923	133.69504	-417.06204	139.78049	234.45	14999	46.350468	8.22226	46.35137	8.226875	-48.55225	5.42161	135.60661339759827
4	-79.226906	138.84462	26.107092	-487.5419	-92.71709	120.11137	8.450412	-385.67093	240.35	241.4	19999	51.848923	8.646455	51.84898	8.649715	-53.669376	5.3243494	184.4801173210144
5	-86.59152	130.56467	42.469387	-422.35632	-41.19859	76.35406	74.75253	-238.76794	328.375	276.6	24999	53.45346	9.72182	53.453	9.720892	-55.00331	4.701268	233.59934282302856
6	-53.54823	88.67536	73.13105	-167.93887	3.9276817	38.423004	105.25021	-53.242977	448.0909	224.45	29999	52.371788	11.703522	52.371758	11.699223	-53.71729	4.478393	282.57773065567017
7	14.653915	49.32028	154.4279	-80.20898	101.24342	97.89038	351.50784	-4.491079	306.8	435.8	34999	50.628685	12.684938	50.628983	12.679196	-51.77412	4.3578897	331.7475891113281
8	84.587326	58.57817	200.0414	-2.7541447	151.2151	155.52106	599.55743	-5.367152	381.57144	400.75	39999	48.263092	12.785222	48.263126	12.782266	-49.309017	3.8715227	380.6305260658264
9	182.84636	167.75339	474.59723	-1.0825487	397.0826	276.10468	858.1248	12.345012	390.36365	579.9	44999	46.72341	12.875165	46.72379	12.872602	-47.65192	3.892611	430.2591676712036
10	258.13123	175.30911	582.1299	30.30423	430.70856	249.01376	764.36774	15.283497	622.55554	697.15	49999	45.04002	12.596525	45.03996	12.595151	-45.930557	3.3003902	480.00957345962524
11	246.8437	176.29907	560.0608	0.8121095	74.03154	236.19316	794.1942	-224.0838	433.9	786.65	54999	43.824524	12.630099	43.82466	12.628449	-44.654617	3.0922775	530.0827219486237
12	703.0912	106.81725	866.49817	575.31793	539.9641	283.49155	909.30164	-33.263752	1000.0	703.95	59999	42.822155	12.742819	42.82191	12.741693	-43.611633	2.733319	580.2934260368347
13	339.8241	235.00267	786.9354	71.22937	388.02905	316.79166	951.89185	3.483424	407.07693	437.05	64999	42.89973	12.975024	42.89962	12.973633	-43.67347	2.7158813	629.6886019706726
