Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	PolicyLoss	ValueLoss	Entropy	AvgKL	StopIter
1	-299.8578	33.48331	-259.81464	-360.98276	1000.0	-0.79134864	0.45310065	0.4368754	-3.2459254	5000	-0.11624236	151.42798	2.27104	0.01868315	79.0
2	-296.43402	20.53688	-269.94528	-327.7608	1000.0	-25.40274	6.685028	-1.9493407	-50.06598	10000	-0.11450423	123.446724	2.2684677	0.010612355	79.0
3	-178.08936	62.758923	-93.61848	-275.79977	1000.0	-27.392519	6.699229	-5.3868465	-62.955505	15000	-0.115112856	102.55441	2.2464168	0.009036746	79.0
4	-176.4126	33.02499	-123.80096	-226.32948	1000.0	-18.10898	3.997416	-5.050052	-34.53743	20000	-0.11649321	115.95616	2.2282484	0.011711731	79.0
5	-124.271194	33.66072	-77.34153	-170.98495	1000.0	-16.372013	3.9276497	-4.6470532	-32.00974	25000	-0.117939524	79.13837	2.1879017	0.017087592	79.0
6	-63.03488	42.068024	-12.723309	-134.21805	1000.0	-12.4863205	3.64283	-2.3888173	-32.54223	30000	-0.12100145	69.5312	2.160716	0.02070932	79.0
7	-37.792828	40.36011	15.381463	-93.6109	1000.0	-6.9057374	2.5154858	-0.7411057	-16.4111	35000	-0.121445045	88.42361	2.1263485	0.023667865	79.0
8	-52.73941	65.396904	48.14293	-129.11948	1000.0	-5.02903	4.4768324	2.5022345	-35.437733	40000	-0.11516223	69.91601	2.0896168	0.026441632	79.0
9	25.522009	44.51912	71.49926	-50.46249	1000.0	-4.596954	6.7233963	6.359907	-34.498535	45000	-0.12389546	63.52507	2.0398548	0.026854327	79.0
10	21.16473	24.440493	45.42433	-23.29775	1000.0	2.0394523	5.886334	13.719149	-22.560526	50000	-0.12102258	63.8295	1.9981977	0.035204023	79.0
11	48.905693	33.0925	103.116974	0.4732381	1000.0	3.5149796	4.895783	14.433695	-19.013273	55000	-0.12405808	60.286774	1.9427447	0.036692232	79.0
12	101.05281	43.486065	187.19966	71.38683	1000.0	4.851421	4.8138795	16.034567	-17.056885	60000	-0.13052152	73.705414	1.8786438	0.040520195	79.0
13	154.59212	34.64058	214.68622	119.419	1000.0	11.302257	3.6513984	24.942669	-5.3018184	65000	-0.12516466	60.7828	1.8465371	0.03508381	79.0
14	209.46536	42.387165	257.84222	135.00037	1000.0	15.546897	4.7922087	27.01992	-17.482138	70000	-0.12703316	69.141914	1.7803903	0.036719106	79.0
15	162.58253	119.87118	318.77948	2.7891471	1000.0	14.401572	11.082267	35.560726	-12.6860285	75000	-0.12951405	62.205105	1.7253549	0.056260694	79.0
16	140.78677	89.181656	239.15886	27.856483	1000.0	12.423813	16.379162	39.820915	-14.182934	80000	-0.12041573	55.8812	1.6838063	0.036582984	79.0
17	74.7939	109.47232	243.6921	-28.366755	1000.0	6.009866	16.441809	39.615208	-13.822312	85000	-0.11427376	33.826176	1.67031	0.019556388	79.0
18	165.75314	163.88246	362.00314	-44.105087	1000.0	11.434604	14.658458	36.405457	-12.05529	90000	-0.11980432	79.7706	1.6028441	0.03545429	79.0
19	309.46417	56.183796	395.8212	225.23009	1000.0	26.7914	10.331217	47.685696	-8.300674	95000	-0.12603135	110.98488	1.4812663	0.037359785	79.0
20	286.79105	104.15573	428.9609	132.76437	1000.0	25.941185	14.397298	54.224472	-2.8120215	100000	-0.124957375	130.55383	1.4187878	0.04682423	79.0
21	225.61699	160.92355	498.39368	86.38724	1000.0	22.515396	19.717852	56.791466	-8.289994	105000	-0.11738347	113.47658	1.3783283	0.049842473	79.0
22	348.09702	129.69244	473.0578	160.02913	1000.0	29.464766	17.76524	55.852417	-9.75063	110000	-0.124703415	114.7674	1.2932888	0.050227914	79.0
23	359.89832	182.96695	535.7162	48.50681	1000.0	33.881405	20.74706	64.69291	-10.109356	115000	-0.12116486	114.85364	1.2433473	0.036209162	79.0
24	248.8529	188.36725	526.17847	-14.236088	1000.0	21.837435	30.279928	65.25675	-39.775867	120000	-0.10685001	99.33405	1.1977705	0.026276972	79.0
25	500.45303	92.28921	660.6357	414.63257	1000.0	44.66249	8.448631	61.758255	-3.9097848	125000	-0.124923624	157.42737	1.0769244	0.049134035	79.0
26	334.91333	223.16634	681.2827	80.95461	1000.0	33.449425	21.436579	73.99546	3.662977	130000	-0.1269692	215.25752	1.1025993	0.06189773	79.0
27	383.97528	185.76564	621.3774	146.83946	1000.0	40.769783	26.99569	80.59188	-9.023237	135000	-0.11558242	116.14979	1.0149251	0.03284966	79.0
28	322.61697	266.58197	696.0058	29.849497	1000.0	25.695877	29.901861	69.029564	-38.29026	140000	-0.10859487	120.36394	1.003277	0.03394937	79.0
29	426.46597	211.29352	702.93945	228.18771	1000.0	37.301987	27.732267	74.892105	-12.617779	145000	-0.11648801	167.91174	0.90139425	0.038327653	79.0
30	242.25288	194.58038	451.65164	6.237697	1000.0	20.760447	29.325655	76.53678	-7.917888	150000	-0.10275546	117.62958	0.9426629	0.021946391	79.0
31	405.80786	159.14737	617.1799	199.4001	1000.0	41.52845	29.980556	83.53022	-8.476842	155000	-0.11377785	111.121376	0.80596584	0.030117834	79.0
32	305.21988	283.94385	771.17883	-92.48151	1000.0	22.920244	33.801373	76.08581	-37.504284	160000	-0.11081443	185.2387	0.73871243	0.03984018	79.0
33	481.3942	157.97382	644.54047	199.22816	1000.0	42.495888	31.409815	92.199265	-7.2649045	165000	-0.10920681	175.54663	0.6905689	0.030143304	79.0
34	437.7443	298.2844	786.5761	35.65827	1000.0	39.59111	30.233816	83.385506	-3.3773744	170000	-0.118812375	154.84407	0.64643776	0.05688881	79.0
35	524.13104	144.19234	738.1351	292.73013	1000.0	49.410618	32.929993	90.086395	-8.703612	175000	-0.111512125	194.72173	0.559099	0.036994237	79.0
36	513.4564	247.88396	748.932	183.3149	1000.0	51.945267	29.48158	93.14326	-0.6270946	180000	-0.11977013	166.91382	0.51111937	0.042452063	79.0
37	564.4981	177.9898	834.686	353.50293	1000.0	49.24203	32.49501	90.24472	-7.7459993	185000	-0.11372515	196.23848	0.46161583	0.038061116	79.0
38	351.26685	145.36406	590.8968	187.04425	1000.0	34.018536	36.829453	101.48767	-10.138128	190000	-0.103430934	231.42418	0.50465846	0.01936991	79.0
39	644.6612	167.70593	872.0223	421.95352	1000.0	52.19876	27.98555	95.89525	-12.106407	195000	-0.12081909	234.49245	0.31143075	0.05245271	79.0
40	474.0499	237.75922	833.9609	128.94759	1000.0	50.778873	35.72978	100.85222	2.031574	200000	-0.112374574	210.8492	0.32118157	0.041090995	79.0
41	740.97797	327.30463	1128.0122	357.7808	1000.0	57.710976	36.190483	106.12585	-31.364782	205000	-0.12465607	400.01895	0.103567526	0.057600603	79.0
42	279.18573	186.4997	619.99225	83.70799	1000.0	32.955395	38.173176	121.310974	-0.6909406	210000	-0.10075907	135.16708	0.2913504	0.004510289	79.0
43	456.38638	199.12921	781.03754	233.55185	1000.0	33.95698	31.645597	93.74229	-0.13533318	215000	-0.11067884	278.87936	0.20933843	0.07532683	66.0
44	573.0745	303.44525	995.1642	105.44558	1000.0	51.43635	35.66247	107.75948	-2.7031248	220000	-0.11889817	262.2852	0.10654583	0.051827587	79.0
45	540.01526	226.10713	751.758	208.11682	1000.0	51.24057	38.739025	119.40481	-0.20608814	225000	-0.10857461	214.8694	0.04906903	0.03239511	79.0
46	357.30203	235.49066	720.3213	94.23515	1000.0	36.913467	37.172615	105.59763	-0.01968804	230000	-0.10055709	169.95084	0.07011157	0.013126013	79.0
47	617.87256	343.0453	1057.4296	194.0811	1000.0	46.73435	36.170567	100.516335	-1.9669218	235000	-0.11054414	250.02345	-0.07755098	0.07625089	59.0
48	533.1597	277.81702	1001.62604	171.02615	1000.0	50.78543	41.63123	119.26374	-0.7746414	240000	-0.10758647	255.2792	-0.10663457	0.06694581	79.0
49	844.8638	182.52025	1055.2083	586.39014	1000.0	73.357765	34.2142	115.821396	1.1566992	245000	-0.115923695	355.6895	-0.3290496	0.053661305	79.0
50	752.7493	278.609	974.9923	264.82343	1000.0	72.547714	40.332012	130.85977	-0.028924897	250000	-0.11143672	256.8761	-0.36234197	0.032958996	79.0
51	710.18	284.5998	996.4929	194.98807	1000.0	67.817566	41.519035	125.68685	-1.3204333	255000	-0.11190591	313.77823	-0.39378107	0.03959286	79.0
52	850.4984	231.93439	1047.9832	417.23553	1000.0	79.68004	34.20522	126.91044	7.5915523	260000	-0.11573296	250.82835	-0.54491526	0.06940759	79.0
53	692.5817	272.76132	1153.4928	372.5782	1000.0	63.314487	43.6372	134.85025	-0.99134386	265000	-0.10878555	386.0836	-0.5316157	0.027505325	79.0
54	1064.405	221.44496	1280.4274	643.9036	1000.0	91.057014	22.936472	125.66854	7.2074714	270000	-0.10228071	295.16177	-0.70040315	0.08443883	43.0
55	760.0369	283.7056	1068.6575	237.22481	1000.0	81.96905	42.471703	149.92552	8.989446	275000	-0.10907539	325.73187	-0.67358536	0.041967772	79.0
56	681.55194	212.86507	1027.5979	360.60257	1000.0	63.058487	42.65029	120.66545	2.1092522	280000	-0.10959495	429.36755	-0.7193562	0.05647464	79.0
57	901.1439	240.05414	1152.6447	470.39862	1000.0	83.51465	36.79554	133.12503	7.249558	285000	-0.11821779	282.98444	-0.8305441	0.05045373	79.0
58	765.06995	388.51077	1214.4264	194.59914	1000.0	70.96098	43.89639	132.34328	3.0120196	290000	-0.11137488	334.8857	-0.879133	0.049847383	79.0
