Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LogPi	LossPi	LossQ	Alpha	LossAlpha	Time
1	-237.88338	62.846275	-177.14055	-354.18872	-414.3404	79.73289	-103.49578	-487.21304	1000.0	1000.0	4999	3.9099994	2.7351358	3.909547	2.7401578	-2.0673606	-4.59691	0.35078004	0.1283646	1.0737865	46.732892751693726
2	-315.97565	58.75074	-247.39594	-399.2469	-324.05145	69.46771	-207.5591	-507.30194	1000.0	1000.0	9999	15.977955	7.634476	15.977926	7.6371117	4.0781045	-17.219229	1.1011474	0.061330456	0.1330102	108.32711887359619
3	-218.05444	45.479633	-159.50609	-289.58713	-272.9238	48.344807	-180.9643	-355.43646	1000.0	1000.0	14999	28.78005	10.9534445	28.78053	10.956277	4.574632	-29.4813	1.7596625	0.03409984	0.04699198	172.64126825332642
4	355.85355	260.8372	628.54663	-22.494532	536.87836	264.0256	933.3066	-116.18478	1000.0	1000.0	19999	26.529188	16.036469	26.528978	16.036882	5.4161224	-26.866463	1.6263248	0.012988232	0.008617858	235.3972065448761
5	645.7609	186.56	878.0417	373.25903	957.46954	483.27347	1592.629	-19.425224	1000.0	1000.0	24999	27.490381	19.489271	27.490084	19.487518	6.051591	-27.78614	1.7328107	0.012025143	-0.0006187152	297.6402950286865
6	1020.1584	640.9085	1682.5132	67.10753	1670.6412	102.75779	1814.7106	1442.9263	1000.0	1000.0	29999	29.97553	24.441425	29.975729	24.439795	6.0314775	-30.267523	2.249031	0.014300031	-0.00045654798	362.9430603981018
7	2041.3535	145.05124	2287.1626	1846.8538	2194.071	110.36432	2403.9612	1913.4683	1000.0	1000.0	34999	38.868637	31.236973	38.86844	31.235897	6.116028	-39.17768	2.8864079	0.02080409	-0.0023970755	423.2209975719452
8	2170.9722	745.4102	2708.363	701.9693	953.2059	814.0982	2486.738	71.52683	1000.0	1000.0	39999	51.713898	38.15979	51.713535	38.158165	6.0723076	-52.035007	3.6222804	0.031440366	-0.0022488656	486.097722530365
9	1714.2168	857.35895	2676.53	636.65234	2628.785	587.4458	2963.8098	730.85754	1000.0	1000.0	44999	63.615986	46.16482	63.61576	46.1631	6.0229945	-63.91945	4.86091	0.037699364	-0.000868373	553.0129907131195
10	2766.295	139.72633	3020.094	2610.2656	2249.5896	1041.2592	3263.0286	173.60854	1000.0	1000.0	49999	76.89834	53.52036	76.89815	53.517517	6.034375	-77.16343	6.027077	0.042896718	-0.0014664655	613.5204825401306
11	2410.9583	1022.1864	3294.004	1022.0321	3387.8704	715.50336	3819.231	340.67978	1000.0	1000.0	54999	89.332245	60.212902	89.33209	60.208565	6.028949	-89.578476	7.0414987	0.048618183	-0.0014059265	674.2233376502991
12	3181.9531	398.20587	3725.4338	2502.412	3457.5054	559.64453	4130.3003	1854.4973	1000.0	1000.0	59999	103.97027	66.4068	103.97045	66.40217	6.034434	-104.20738	7.942542	0.05605719	-0.0019109211	738.7093961238861
13	3306.0012	704.28534	3783.322	1910.663	3681.9329	397.08932	4010.9155	2029.4487	1000.0	1000.0	64999	118.72834	72.07743	118.72825	72.07227	6.0296307	-118.95551	8.9011545	0.063152194	-0.0018813673	800.6209950447083
14	3702.06	69.06947	3820.4968	3636.4856	3899.3696	131.02019	4101.073	3623.3237	1000.0	1000.0	69999	133.86557	76.82525	133.86534	76.82037	6.0319405	-134.06583	9.662609	0.07248623	-0.002312114	863.282870054245
15	3438.6907	1189.2295	4331.6455	1083.0848	3967.9292	783.5696	4415.5684	786.16003	1000.0	1000.0	74999	147.89308	80.738045	147.89261	80.734	6.010119	-148.06544	10.150489	0.07939796	-0.00079363346	928.5486507415771
16	4126.4976	121.977486	4318.8145	4008.2034	4227.951	214.80464	4547.937	3547.7222	1000.0	1000.0	79999	161.2659	84.43979	161.26532	84.43602	6.0213304	-161.40573	10.303264	0.08429072	-0.0017993671	991.4930212497711
17	4212.973	117.18669	4348.154	4028.6772	4294.1875	135.93675	4570.1445	4021.7205	1000.0	1000.0	84999	175.06491	86.91966	175.06451	86.915955	6.013405	-175.15117	10.526306	0.09115306	-0.001214653	1056.2619726657867
18	3784.345	1089.8958	4534.8633	1617.635	4389.2695	965.9697	4810.595	222.7764	1000.0	1000.0	89999	187.01176	88.727104	187.01137	88.72299	6.011888	-187.03346	10.495485	0.09637851	-0.0011364641	1117.7159049510956
19	4132.575	685.03284	4568.759	2773.7278	4594.927	130.13261	4796.883	4273.2925	1000.0	1000.0	94999	196.1046	91.51923	196.1041	91.51518	6.0040298	-196.09084	10.563105	0.099885255	-0.0003900353	1182.295238018036
20	4529.89	68.422676	4603.503	4421.3667	4941.871	110.87568	5139.557	4657.2017	1000.0	1000.0	99999	205.5926	93.81179	205.59184	93.80701	6.016415	-205.54457	10.931726	0.103709646	-0.0017014315	1243.9100642204285
21	4485.1274	111.17324	4619.917	4340.394	5006.67	139.18132	5229.7617	4601.576	1000.0	1000.0	104999	214.9975	95.13665	214.99706	95.131584	6.007813	-214.88925	11.099788	0.10991787	-0.00084624614	1306.057286977768
22	4746.0557	118.40698	4923.046	4551.1836	5119.1123	95.68264	5264.9272	4906.9844	1000.0	1000.0	109999	223.5744	95.9746	223.57347	95.970085	6.0166483	-223.42203	10.976485	0.116895474	-0.0019186627	1372.8325703144073
23	4797.2695	191.19695	5005.2026	4459.941	5263.9614	104.03766	5446.2017	5064.642	1000.0	1000.0	114999	231.58376	96.593445	231.5831	96.58849	6.011101	-231.39062	11.143494	0.12265715	-0.0013513619	1431.4223475456238
24	5000.079	99.508255	5142.91	4844.1	5342.032	111.85423	5513.843	5118.5605	1000.0	1000.0	119999	239.36313	97.11949	239.36246	97.114334	6.0061107	-239.13133	10.989936	0.12803274	-0.00076687965	1491.7104840278625
25	5229.6533	62.800667	5318.117	5142.4404	5424.35	82.70304	5571.7056	5274.6436	1000.0	1000.0	124999	247.16583	98.04048	247.16513	98.03592	6.009844	-246.9391	10.9522295	0.13260174	-0.0012864479	1555.9519040584564
26	5203.053	168.79826	5459.6934	4941.4824	5446.0093	86.25533	5603.447	5283.066	1000.0	1000.0	129999	255.5771	98.700424	255.57608	98.69569	6.0093904	-255.34006	10.870265	0.13709684	-0.0012794419	1617.2930490970612
27	5198.1064	133.59898	5425.102	5066.961	5480.958	69.877174	5572.419	5286.6313	1000.0	1000.0	134999	263.58487	99.20807	263.58423	99.20319	6.00608	-263.32104	10.58333	0.1412573	-0.00085252064	1680.0703959465027
28	5351.788	76.9024	5461.988	5255.5195	5627.9517	119.57955	5937.912	5462.086	1000.0	1000.0	139999	271.41022	99.531876	271.4095	99.52783	5.9997168	-271.12134	10.537283	0.14432226	5.443959e-05	1747.5703444480896
29	5414.3945	141.26588	5532.562	5142.987	5672.9526	110.56085	5857.5693	5463.162	1000.0	1000.0	144999	278.6147	99.96101	278.61407	99.95735	6.0090523	-278.31265	10.52109	0.14774482	-0.0013155595	1807.693960428238
30	5564.859	80.285706	5662.1313	5417.138	5911.477	118.07038	6153.5195	5714.8794	1000.0	1000.0	149999	286.0923	100.48447	286.09158	100.48059	6.0059223	-285.7838	10.430642	0.1514153	-0.00088580267	1868.450012922287
31	5705.372	103.37123	5831.719	5534.9673	5989.3193	98.442	6143.4277	5794.581	1000.0	1000.0	154999	293.53128	101.29478	293.53036	101.29124	6.002652	-293.22342	10.413005	0.15411241	-0.00039776138	1933.9295253753662
32	5772.5146	211.06645	6168.1753	5533.513	6128.8047	100.20581	6360.7773	5946.61	1000.0	1000.0	159999	301.12814	102.27638	301.12723	102.273415	6.008231	-300.8156	10.660577	0.15895881	-0.0012922622	1993.4428081512451
33	5869.564	66.78851	5986.079	5793.1636	6491.46	151.96713	6771.612	6183.0933	1000.0	1000.0	164999	308.6515	102.72043	308.65063	102.717224	6.004401	-308.31958	10.924613	0.16437317	-0.0007054033	2055.566106557846
34	5926.1816	128.59758	6079.119	5759.7173	6200.4766	1023.1226	6641.798	1773.2345	1000.0	1000.0	169999	315.5136	103.27241	315.51306	103.26888	6.00584	-315.1628	10.949338	0.16893893	-0.0009599865	2121.310963869095
35	6140.8335	47.871548	6199.3755	6058.756	6631.6587	124.192085	6899.0156	6386.002	1000.0	1000.0	174999	322.28336	103.769264	322.28244	103.76614	6.0040293	-321.94055	11.091764	0.17003904	-0.0006743882	2182.2961723804474
36	6260.341	131.80249	6394.3604	6095.4404	6719.5166	124.27321	6923.8105	6489.126	1000.0	1000.0	179999	329.56506	104.41257	329.56415	104.409744	5.99938	-329.23404	11.117247	0.17239995	0.000121811245	2245.4046528339386
37	6186.246	133.34996	6433.5615	6061.83	6838.0107	133.40637	7167.3247	6592.0723	1000.0	1000.0	184999	336.99652	105.122955	336.99582	105.119576	6.0056057	-336.6486	11.299129	0.17568931	-0.0009608494	2307.7888839244843
38	6454.449	152.44525	6692.753	6243.106	6923.7085	107.635735	7059.1606	6723.759	1000.0	1000.0	189999	344.0616	105.88433	344.06076	105.8807	6.003257	-343.7062	11.547634	0.17785324	-0.0005639291	2371.363754272461
39	6480.4766	214.95335	6775.266	6115.3115	6987.186	108.66538	7181.9775	6806.3857	1000.0	1000.0	194999	351.22867	106.39909	351.2281	106.39587	6.001938	-350.87936	11.551861	0.1796245	-0.00033375	2435.6019768714905
40	6549.047	79.28078	6666.719	6431.849	7166.914	143.00938	7394.662	6842.8457	1000.0	1000.0	199999	358.29617	107.27158	358.29532	107.26832	6.003366	-357.9414	11.708239	0.18266328	-0.0005986716	2502.112323284149
41	6706.993	208.42226	6995.2134	6478.524	7309.194	156.50336	7590.3853	7056.3545	1000.0	1000.0	204999	365.40143	108.302155	365.40085	108.298775	6.0022993	-365.04916	12.13402	0.18535955	-0.0004084838	2569.6407220363617
42	6850.0874	79.80164	6984.848	6742.1504	7261.0967	824.38324	7680.887	3723.947	1000.0	1000.0	209999	372.5786	109.15431	372.5782	109.15061	6.0038357	-372.2405	12.306242	0.18845615	-0.00070093595	2629.5815136432648
43	6944.764	135.1131	7104.0625	6759.3105	7404.036	129.84895	7626.716	7153.521	1000.0	1000.0	214999	379.76752	110.45647	379.767	110.45274	6.0069914	-379.4224	12.605606	0.19256906	-0.0013267809	2690.4866065979004
44	6911.995	232.68332	7130.3555	6477.0454	7533.03	130.73866	7773.563	7320.3125	1000.0	1000.0	219999	386.94214	111.033104	386.94153	111.0294	6.007249	-386.58136	13.042363	0.19703324	-0.0014209144	2755.736646413803
45	7035.9507	167.0542	7241.308	6824.1216	7624.0264	214.81055	8067.3066	7152.358	1000.0	1000.0	224999	393.35858	112.16298	393.3582	112.158875	5.9974084	-392.99854	13.278489	0.20045839	0.0005364606	2817.0188269615173
46	7027.5713	189.62408	7306.71	6811.046	7765.3086	161.29436	8122.7817	7481.724	1000.0	1000.0	229999	400.39377	112.54396	400.39343	112.54018	6.0066786	-400.02188	13.628611	0.20395274	-0.0013326879	2882.614220380783
47	7083.2603	72.583855	7189.9014	6963.0396	7883.3413	190.24301	8242.838	7424.7866	1000.0	1000.0	234999	406.41156	113.243095	406.41098	113.239586	6.0049853	-406.02432	13.748516	0.20723054	-0.001021411	2949.1692237854004
48	7192.1416	133.92421	7338.84	6959.978	7440.3765	1419.9889	8222.638	1296.2928	1000.0	1000.0	239999	412.19452	113.65631	412.19424	113.65226	6.000038	-411.7886	13.868832	0.21022512	9.900272e-06	3013.7100863456726
49	7523.121	169.766	7729.2373	7231.1816	7891.0063	143.04692	8158.626	7659.808	1000.0	1000.0	244999	417.6876	114.2366	417.68732	114.2328	6.002963	-417.28244	14.250697	0.21278152	-0.0006105569	3074.7720749378204
50	7628.5264	199.70667	7811.3364	7244.251	8310.193	174.03424	8800.059	8025.7256	1000.0	1000.0	249999	423.79504	114.921646	423.7948	114.91844	6.003845	-423.3872	14.536094	0.21520093	-0.00080897677	3134.2222034931183
51	5857.353	2706.106	7992.249	904.2702	8229.679	250.27788	8570.435	7589.7725	1000.0	1000.0	254999	427.6924	118.004265	427.692	118.001495	6.0038924	-427.2833	15.584269	0.21752593	-0.00083444157	3199.802336215973
