Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LossPi	LossQ	Time
1	-368.85568	76.98806	-289.12405	-503.89526	-461.90057	54.95361	-376.38242	-547.90704	1000.0	1000.0	4999	2.029978	2.7055385	2.0303605	2.7058759	-3.1017118	0.115839235	32.12179398536682
2	-271.9552	78.46879	-201.98186	-404.72507	-539.51917	17.63553	-501.17203	-580.06146	1000.0	1000.0	9999	13.036968	7.3042383	13.037004	7.303407	-15.0856905	0.715206	66.25155186653137
3	-429.21786	139.04178	-204.15295	-595.6	47.886387	543.06604	1193.6089	-520.3935	1000.0	1000.0	14999	26.451324	10.654628	26.450882	10.655449	-28.176796	2.0899875	104.46776366233826
4	92.347374	562.5847	1175.7482	-374.5112	492.76855	438.69846	1326.9197	-237.0391	1000.0	1000.0	19999	31.19055	17.38506	31.190619	17.384789	-32.22919	1.8040212	142.0937933921814
5	1566.1338	239.35362	1973.5524	1272.5878	1635.7809	779.5944	2215.527	-487.82465	1000.0	1000.0	24999	38.253674	24.33277	38.25371	24.334297	-39.23778	2.3083847	181.81494164466858
6	1864.1262	454.08932	2251.0706	993.3947	2055.768	879.5721	2709.981	-393.2061	1000.0	1000.0	29999	52.15357	26.96173	52.15314	26.962872	-53.252087	2.6431766	216.3855321407318
7	1888.0413	1105.6638	2730.4639	-277.893	2497.5615	589.90155	3069.9514	850.31976	1000.0	1000.0	34999	62.755955	32.34619	62.756012	32.346638	-63.515106	3.3429575	256.0418186187744
8	2861.829	91.181816	3006.288	2719.7244	2960.9707	705.963	3293.9329	-92.480804	1000.0	1000.0	39999	76.31461	39.256405	76.31482	39.256664	-77.22562	4.356554	290.75994181632996
9	3101.6174	172.90695	3417.639	2944.181	3355.6316	146.18385	3599.8394	3069.242	1000.0	1000.0	44999	92.22731	44.43455	92.22751	44.435425	-93.11855	5.5382366	330.53187894821167
10	3529.0298	115.50904	3647.3057	3326.069	3536.2766	645.1522	4266.3574	876.50366	1000.0	1000.0	49999	109.27306	48.676872	109.273415	48.67745	-110.2699	6.47955	365.17788529396057
11	3679.6946	114.20808	3837.2239	3510.2446	3819.4915	103.31059	4067.2026	3643.297	1000.0	1000.0	54999	127.0864	51.809456	127.08678	51.80924	-128.1185	7.12635	404.9321291446686
12	3825.795	151.31622	4011.883	3594.759	3802.6406	269.3962	4210.1064	3019.2136	1000.0	1000.0	59999	144.78267	54.090347	144.78247	54.0901	-145.804	8.016416	439.54379320144653
13	4009.1929	217.61969	4299.4067	3737.7476	4122.9224	520.9983	4555.0264	2082.8572	1000.0	1000.0	64999	161.58565	55.987152	161.5859	55.986225	-162.55397	8.771022	479.2604305744171
14	4227.283	191.7813	4564.8735	3979.8777	2893.748	1702.7893	4640.2095	-169.97488	1000.0	1000.0	69999	177.5893	58.206818	177.58948	58.2053	-178.55728	9.245451	513.9751424789429
15	3607.0742	793.29755	4531.8555	2537.249	3480.7378	1860.15	5035.6567	-152.36095	1000.0	1000.0	74999	191.19316	62.665874	191.1933	62.664886	-192.04977	10.177294	553.6571617126465
16	4613.9634	289.6517	5167.605	4366.9473	4841.4136	366.6246	5195.08	3450.3882	1000.0	1000.0	79999	203.95547	69.006676	203.95567	69.00537	-204.67743	11.309966	588.3873686790466
17	5085.579	161.02905	5382.0195	4910.074	5024.1274	424.94916	5492.5454	3382.01	1000.0	1000.0	84999	217.8281	74.33962	217.8289	74.33828	-218.60815	12.273535	628.2236149311066
18	4955.844	70.363495	5040.023	4832.3706	4775.272	1511.3539	5708.289	287.67514	1000.0	1000.0	89999	231.84935	78.78076	231.84975	78.779396	-232.80075	13.368463	663.1823091506958
19	5199.202	73.45058	5307.3145	5087.2812	5485.384	124.81205	5684.5586	5188.711	1000.0	1000.0	94999	245.9165	82.06604	245.91705	82.064896	-246.87495	14.330775	702.9934594631195
20	4797.2144	909.9022	5426.922	3005.1223	5511.2383	1135.0885	6193.738	612.0835	1000.0	1000.0	99999	259.1229	85.08289	259.12354	85.08119	-260.07764	15.20452	737.7138628959656
21	5624.536	42.715057	5688.048	5578.4956	5769.6973	130.6641	6194.744	5570.042	1000.0	1000.0	104999	271.49283	88.61396	271.4937	88.61333	-272.49512	16.4596	777.5177285671234
22	5711.9946	165.22481	5957.3276	5530.1406	6062.7163	127.767815	6360.45	5906.003	1000.0	1000.0	109999	284.29922	91.372826	284.2993	91.371796	-285.38837	17.012665	811.9967980384827
23	5812.5522	78.91462	5925.7505	5712.983	6030.291	370.54355	6304.507	4483.461	1000.0	1000.0	114999	296.9016	93.54374	296.90265	93.54212	-297.94797	17.50525	851.7513945102692
24	6065.4355	138.95615	6207.832	5828.229	5788.211	87.582855	5985.693	5626.6704	1000.0	1000.0	119999	309.1677	95.509056	309.1683	95.50754	-310.35187	18.171019	888.6855001449585
25	6114.0977	92.98655	6267.724	6024.443	6405.8525	505.9939	6818.272	4823.9663	1000.0	1000.0	124999	321.53912	97.210175	321.5394	97.20987	-322.67944	18.386715	928.4310126304626
26	5673.8413	510.82056	6195.8594	4966.281	6744.208	127.34548	6937.8022	6490.3965	1000.0	1000.0	129999	333.80582	98.65028	333.8065	98.64913	-334.90176	19.19409	963.0255584716797
