Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	PolicyLoss	ValueLoss	Entropy	AvgKL	StopIter
1	26.923094	27.62695	176.67262	7.65012	25.757895	0.011686513	0.09020042	0.45172253	-0.46244958	5000	-0.051263243	337.9777	1.5569754	0.018395623	79.0
2	39.462673	35.23004	181.9198	7.612691	33.623287	22.233463	10.989201	75.61948	-0.95020956	10000	-0.053359326	433.4438	1.533917	0.02826248	79.0
3	92.47829	70.39548	242.06894	11.133508	61.205128	34.505924	12.15378	76.5743	-4.8496017	15000	-0.055284314	974.616	1.5152162	0.019301625	79.0
4	134.31384	68.22109	286.271	9.270643	78.30645	57.419064	14.428467	84.773735	-4.2175827	20000	-0.05264497	865.665	1.4973108	0.019292885	79.0
5	179.91992	68.31095	290.13992	12.1128645	96.895836	64.4394	20.910412	94.42939	-8.8205185	25000	-0.051716052	688.5514	1.4754366	0.015639082	79.0
6	205.04497	55.13008	261.89792	67.978615	104.244446	77.85589	28.388004	113.20895	-1.9087521	30000	-0.047545455	567.0526	1.4652032	0.007936686	79.0
7	225.19983	37.30702	257.5709	100.50907	110.71429	85.23396	32.693604	125.51632	-1.595114	35000	-0.045428295	232.20004	1.4418819	0.009101875	79.0
8	220.17546	30.82218	261.44073	92.48112	105.065216	92.90386	36.101185	131.70619	1.8740964	40000	-0.044208396	186.19243	1.4298271	0.010744857	79.0
9	230.73163	17.927753	278.27075	162.51727	111.0	91.71683	36.116493	133.22072	-0.0065986514	45000	-0.04375987	62.40021	1.3976988	0.013125029	79.0
10	227.32896	23.165483	265.0586	158.82361	109.95349	94.62723	37.522587	139.77223	0.93124044	50000	-0.043857783	125.14237	1.3698457	0.017157631	79.0
11	235.03545	20.720364	264.35693	150.76184	113.53658	92.014435	37.39995	135.25217	0.24394189	55000	-0.04328836	103.7078	1.3755105	0.01049878	79.0
12	244.02681	15.284563	280.5214	209.57838	116.925	94.1836	38.373554	139.58412	1.3893106	60000	-0.051022165	18.376186	1.3339415	0.020969601	79.0
13	243.63625	14.489661	276.69046	207.53493	115.439026	97.46724	39.53504	139.06885	-1.3579805	65000	-0.046936586	42.29717	1.301465	0.014702121	79.0
14	245.54466	17.260176	288.8388	187.94048	114.39024	96.86935	39.957302	140.77429	-1.6669432	70000	-0.048790943	39.556873	1.2576299	0.02189121	79.0
15	246.0269	13.526019	285.76422	213.93436	112.02381	98.448875	40.048424	141.94847	0.8109013	75000	-0.05132522	35.170033	1.2399706	0.02222725	79.0
16	251.33005	18.627647	298.0647	200.92262	115.575	100.40658	40.160877	144.60608	-1.0398737	80000	-0.045683056	73.70532	1.2066506	0.01760328	79.0
17	260.70847	17.729748	317.45496	229.95842	117.4	100.0225	40.966976	144.72963	2.383581	85000	-0.049575612	58.232075	1.1520011	0.034346815	79.0
18	265.45166	25.400534	325.69867	156.79077	118.325	104.62566	41.146347	148.18704	-3.443904	90000	-0.045702327	117.9987	1.1181891	0.01911386	79.0
19	276.0191	27.651117	349.41547	229.22882	119.1	106.12106	42.071583	149.6985	-10.356357	95000	-0.056103356	127.647865	1.0853463	0.025189621	79.0
20	288.79285	35.369278	361.0738	164.66455	125.4054	110.51001	41.12707	154.62276	-12.716808	100000	-0.052527748	209.08632	1.0316691	0.026020002	79.0
21	304.68192	29.26118	368.1049	251.5868	127.69444	115.34541	42.570164	163.40358	-3.2584007	105000	-0.045584116	149.32454	0.97846526	0.021892957	79.0
22	309.82095	24.958927	346.1167	235.2369	126.27778	122.83468	44.14429	171.34253	-5.6796145	110000	-0.053564183	131.87735	0.9285129	0.0145627055	79.0
23	322.38525	26.755756	353.37408	239.92607	129.02856	123.936485	43.660656	167.38307	-9.299493	115000	-0.04098121	163.53693	0.8731537	0.016915468	79.0
24	319.88907	28.038082	357.9208	244.51215	127.69444	128.81535	44.980686	171.87206	-1.7188356	120000	-0.040687416	183.98253	0.8280037	0.007821422	79.0
25	333.1292	17.62033	357.1801	255.32188	130.62857	126.918976	45.492992	171.23975	-1.9141537	125000	-0.044107683	75.826775	0.799787	0.026164673	79.0
26	335.38367	13.713554	360.33624	305.4452	131.0	131.51512	47.011253	176.49686	0.23925906	130000	-0.051897045	27.434263	0.74158245	0.023438241	79.0
27	343.3626	19.202648	365.2076	256.614	132.57143	133.51022	46.493587	176.7526	-0.012928158	135000	-0.04103187	83.24376	0.715324	0.020251751	79.0
28	348.82367	20.20553	374.1248	246.17545	134.0	135.4183	48.166756	179.70361	-1.6569237	140000	-0.036370583	82.566925	0.6880554	0.018372733	79.0
29	352.2741	11.248521	371.61603	322.7693	134.77142	137.1654	49.086617	180.59001	1.2698038	145000	-0.051070344	23.316671	0.64656013	0.02767045	79.0
30	356.28464	8.90038	375.69998	337.14694	136.0	138.08234	49.688976	183.1707	0.15364224	150000	-0.05334114	16.216625	0.58787453	0.023937676	79.0
31	365.483	10.485816	384.4071	339.9018	137.94286	138.74126	49.960133	183.15755	0.053033367	155000	-0.052300867	18.712109	0.5322351	0.028365528	79.0
32	371.21387	7.1877413	384.00635	354.55475	139.11429	141.16502	51.154743	187.92375	-1.4239163	160000	-0.047502026	10.75112	0.47027242	0.018666733	79.0
33	374.86768	8.718046	393.51624	346.03067	139.68571	142.95142	51.878784	188.79572	-0.8025477	165000	-0.052427117	14.037616	0.42134345	0.024961418	79.0
34	375.626	8.827634	389.78488	354.505	139.62857	143.84583	52.465515	191.3359	-0.8926233	170000	-0.050471324	13.645334	0.36508188	0.015948202	79.0
35	383.05826	6.880661	399.3432	370.03015	141.23529	144.60017	52.19889	190.36615	-0.3030668	175000	-0.051015925	7.751176	0.31591576	0.029348928	79.0
36	386.73737	6.5683365	400.0725	373.37796	141.85715	146.17896	53.038834	193.13785	0.19071725	180000	-0.053132337	8.573546	0.24606454	0.025789429	79.0
37	387.5309	7.526271	400.56805	366.2662	141.45714	147.09254	53.67935	194.8697	-0.4655753	185000	-0.05134075	9.088275	0.1851927	0.02065863	79.0
38	389.0092	10.416691	405.48993	358.86145	141.22858	147.97295	53.971203	194.86243	-0.24697405	190000	-0.04283334	12.017505	0.15807815	0.02308494	79.0
39	392.1408	8.508627	408.82394	364.38995	142.32353	148.99338	54.09993	195.41574	1.2500776	195000	-0.051258687	9.868544	0.08693848	0.025089584	79.0
40	390.7719	7.618428	403.05725	371.8562	141.65715	149.13391	54.47211	197.09035	-0.61597943	200000	-0.046890106	9.452346	0.040276166	0.022485796	79.0
41	393.63614	7.342135	405.19006	378.4024	142.58824	148.93608	54.418327	195.6248	0.5980973	205000	-0.045941558	5.9842935	-0.0059835366	0.020643076	79.0
42	400.53174	8.384929	417.61105	382.11252	144.03334	150.69392	53.597126	198.91676	1.5397985	210000	-0.04891877	7.6590533	-0.06899399	0.030839007	79.0
43	399.5752	7.9207873	414.43512	387.35614	143.58064	152.10303	54.598583	199.17088	0.7958991	215000	-0.050355975	8.032045	-0.13338467	0.018467737	79.0
44	402.16605	8.328242	415.8551	376.34894	143.67741	152.3887	54.278202	198.40193	0.82206184	220000	-0.049023136	6.6255846	-0.19214708	0.032190043	79.0
45	405.56406	8.881532	430.75964	388.58768	144.3871	153.59096	54.81178	200.61418	-0.68565655	225000	-0.03909794	8.285003	-0.24385732	0.033018507	79.0
46	407.7685	8.125394	432.64755	393.66107	144.46666	154.82597	54.569134	201.27415	0.34435004	230000	-0.047415864	5.776487	-0.2923505	0.029984869	79.0
47	409.3117	8.515454	428.49405	392.56152	144.9	156.37308	55.434055	204.95384	2.1121705	235000	-0.042509865	7.398814	-0.32721356	0.014546088	79.0
48	406.63364	21.048235	424.1779	302.85953	144.3871	157.04633	54.280415	203.0027	1.9184353	240000	-0.03196666	59.72905	-0.36982316	0.01752497	79.0
49	413.38882	9.319395	432.27405	392.89145	145.76666	156.5316	55.250343	202.60489	-14.881643	245000	-0.045005076	8.773945	-0.41171777	0.025263509	79.0
50	413.99564	7.5717196	427.92166	396.98813	145.76666	157.73364	55.50394	204.9195	-1.3381679	250000	-0.0441727	7.0598617	-0.45461044	0.021900788	79.0
51	413.08395	7.045577	426.11594	397.7742	145.0	157.6312	55.965435	206.24113	0.48670584	255000	-0.041529503	6.325505	-0.49734396	0.021667795	79.0
52	415.96112	8.553827	428.91843	388.2898	146.03334	158.7941	55.512226	205.67647	0.48182124	260000	-0.04345223	5.9775553	-0.5547713	0.025073556	79.0
53	419.20447	7.3279138	431.01587	396.64114	147.16667	160.0956	55.82204	206.71208	0.8609719	265000	-0.045594014	6.0036297	-0.5974299	0.019827757	79.0
54	421.35773	5.4341974	431.24545	409.60086	147.6	160.89638	55.620453	206.4556	-0.67472106	270000	-0.046942607	4.7760096	-0.6200406	0.024416836	79.0
55	422.54648	5.839337	433.48428	406.0079	148.3	161.54465	56.127586	207.41989	0.51520354	275000	-0.04584079	4.1934547	-0.66278386	0.019966569	79.0
