Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LogPi	LossPi	LossQ	Alpha	LossAlpha	Time
1	19.798815	19.020527	173.91393	5.302949	9.079286	0.100667216	9.2626705	8.891039	22.776257	9.0	4999	19.385323	17.489964	19.38554	17.497358	2.1809886	-22.601353	3.643865	0.16511127	0.14170706	37.65862417221069
2	18.512133	15.511379	137.32954	4.9953175	54.720806	0.47524303	55.469425	53.867363	22.34375	31.0	9999	114.29965	47.022415	114.297134	47.03259	3.4509304	-125.782524	59.614605	0.32172295	-0.13773948	81.85453081130981
3	161.00246	95.82075	464.09622	1.1591219	0.8333928	0.311316	1.5200238	0.21679224	90.63636	26.0	14999	243.1637	66.26438	243.1574	66.315475	2.696662	-258.18225	204.38965	0.4300543	0.10662958	128.8801121711731
4	379.2714	455.82822	1462.9038	-0.58422166	426.14154	1.491156	429.4119	423.5876	245.5	177.4	19999	262.5046	72.05947	262.5004	72.13907	2.9954946	-272.47223	162.76819	0.26332387	0.0009516067	176.60656666755676
5	332.54074	103.426895	660.0982	142.49596	923.7046	763.115	2176.0496	163.89053	160.41936	457.1	24999	282.63373	76.28864	282.6331	76.33827	2.9967673	-291.962	143.2524	0.30986488	0.0010228767	228.9430387020111
6	373.44092	132.47342	816.2458	146.3441	489.8313	31.756123	541.903	390.67603	192.26923	317.6	29999	283.83865	84.522964	283.84128	84.58035	2.9271257	-291.49988	130.18625	0.23405659	0.017734073	277.8234100341797
7	526.96136	240.35263	1087.8877	235.02254	721.40515	209.47188	1023.5583	387.2507	352.2143	663.6	34999	261.7644	86.25097	261.76282	86.31986	2.9750772	-267.7304	91.97893	0.18962185	0.0047426247	330.2871778011322
8	457.69464	119.2603	702.8771	211.11406	495.95712	124.143166	774.8118	361.0354	290.88235	299.95	39999	240.92958	80.19487	240.9277	80.244934	2.9796753	-245.7265	63.691906	0.16610129	0.0034195408	379.9267303943634
9	507.84015	107.282104	771.1561	320.03714	408.11642	1.3642136	411.27182	405.5481	257.8	173.25	44999	221.28117	74.71734	221.27838	74.764404	2.9719028	-225.1849	46.190063	0.13860844	0.00413226	427.58344054222107
10	555.9737	138.61711	993.7216	263.30573	484.5998	4.0703287	492.27203	477.05753	239.66667	225.55	49999	204.96515	70.8932	204.96269	70.9361	2.9677384	-208.2245	34.016056	0.12534653	0.003994012	475.6970341205597
11	854.7756	399.83194	1869.1588	430.83224	540.6021	54.014877	632.58875	450.0318	404.25	250.85	54999	195.2535	65.79117	195.25095	65.82617	2.9898262	-198.0859	27.565275	0.1055016	0.001111821	524.1207423210144
12	402.47858	220.65419	1033.6104	29.732141	873.2589	399.78333	2052.845	270.36697	198.92308	363.9	59999	189.94453	60.707172	189.94205	60.742126	2.9656613	-192.44635	28.469221	0.09386393	0.0032319152	576.070042848587
13	318.8034	209.055	960.2573	141.18268	361.4056	150.60141	839.0737	223.21931	156.46875	153.1	64999	184.42226	56.07924	184.42088	56.10187	3.0134828	-186.62384	33.224617	0.08928938	-0.0011736557	624.4298465251923
14	481.2568	294.52386	1204.4132	176.65967	992.534	275.66693	1385.548	565.6417	213.47826	408.05	69999	181.591	53.897217	181.59026	53.911304	2.9996746	-183.79794	35.57914	0.09180806	4.165144e-05	673.8417115211487
15	748.42096	266.20166	1199.0641	280.97382	680.9339	143.09508	1022.76044	406.9935	291.2353	265.8	74999	181.21483	52.737656	181.21373	52.751457	2.9912612	-183.29617	31.267227	0.090046436	0.00078697	722.4939699172974
16	699.0372	268.15503	1125.1887	68.83146	1025.6042	319.7762	2248.2847	837.7738	265.44446	331.7	79999	180.04488	51.56415	180.04288	51.583557	2.9649637	-181.89893	28.999956	0.074553065	0.0027262403	772.3479678630829
17	1155.397	496.61627	1914.9508	486.3814	1092.7775	137.69228	1623.719	966.4007	408.84616	359.2	84999	180.35379	49.72171	180.3528	49.73422	3.0119324	-182.21875	26.165113	0.07181794	-0.0008556505	821.1500055789948
18	1628.7698	679.8613	2767.8518	625.5999	2506.2344	382.84616	2746.7712	1234.0115	566.375	930.15	89999	184.86264	51.197464	184.86304	51.2151	2.993583	-186.72012	25.988197	0.07312182	0.00048188586	872.006165266037
19	2319.148	693.25916	2937.291	833.31824	2777.93	15.679024	2804.9644	2752.2935	799.8333	1000.0	94999	191.3717	51.36611	191.3707	51.379765	3.0172167	-193.21342	25.166937	0.077259496	-0.0013047226	922.8330795764923
20	1372.306	756.56976	2853.8257	698.9455	1781.0886	690.52435	2801.5664	890.76135	468.5	627.65	99999	196.86269	52.15771	196.8622	52.170403	2.9837613	-198.51872	23.969618	0.07466422	0.0012489103	973.7520768642426
21	1255.8215	520.7477	2744.7163	781.9646	2389.0193	557.802	2779.2954	1060.3088	455.54544	882.4	104999	200.2095	54.324986	200.2089	54.33407	2.9984343	-201.80273	24.156574	0.07473113	0.00012187858	1024.5756187438965
22	1407.0454	800.6426	2890.1628	171.44305	570.641	47.376038	638.93567	459.12186	503.3	184.85	109999	204.26857	54.488274	204.26836	54.498466	2.983438	-205.76053	23.050869	0.06813611	0.0011338419	1072.3761365413666
23	1023.5946	418.25064	1700.3107	59.755512	660.3915	210.10516	1515.012	435.82523	347.07144	209.55	114999	207.78937	56.485214	207.78883	56.492966	3.0112228	-209.29985	23.452562	0.06735771	-0.00074411416	1121.3193588256836
24	1160.4001	660.14056	2819.1138	58.87198	1256.0908	491.04712	2551.143	774.06836	397.23077	456.15	119999	211.45145	57.339714	211.4506	57.34806	2.9956737	-212.9077	24.736631	0.06925836	0.0003016508	1172.160073041916
25	1260.673	643.0292	2761.377	730.3648	2224.6523	498.9577	2807.4573	1360.9384	454.0909	792.95	124999	213.631	58.477463	213.6303	58.490494	2.9905198	-214.982	23.55414	0.066766396	0.0006241746	1223.5159723758698
26	1342.6892	594.9027	2724.8086	805.6126	1361.9337	264.85294	2269.339	1173.1301	483.6	498.7	129999	215.14705	59.466637	215.14713	59.47599	3.0057755	-216.4926	23.936832	0.064371645	-0.00036713964	1273.7784702777863
27	1494.342	520.97675	2826.627	1107.6862	1050.7067	473.7166	2907.0781	815.15735	518.2	358.15	134999	216.84958	59.180786	216.84967	59.19363	3.0004127	-218.1302	23.31466	0.06611345	-2.1946002e-05	1324.680048942566
28	1830.0828	883.83	3040.1702	867.672	2431.2715	493.63895	3044.974	1406.857	596.0	814.4	139999	218.23892	58.983597	218.23842	58.997616	2.993003	-219.46033	22.750418	0.06471608	0.00045473615	1375.4853086471558
29	1270.1447	1316.0105	2967.0273	15.629191	3113.333	27.924595	3157.2104	3065.0637	431.3	1000.0	144999	220.46194	58.772484	220.46158	58.78418	3.0055113	-221.6986	23.103489	0.063673355	-0.00034817908	1426.398097038269
30	1253.5941	1127.373	3034.802	47.56301	842.9546	94.43833	927.4392	684.9958	417.83334	260.1	149999	222.93735	58.53502	222.9375	58.543053	2.9932256	-224.13425	22.755959	0.064202316	0.00043713345	1473.999154806137
31	1796.6584	1015.9895	2982.465	727.65643	1524.4591	804.76636	2839.81	673.84424	595.5	513.2	154999	225.00845	58.57922	225.00752	58.590893	2.9977	-226.19405	21.603	0.060129974	0.00014687044	1524.7748038768768
32	1516.2825	1056.6891	2879.962	64.22396	1645.5195	942.4959	2885.429	739.06134	525.875	556.45	159999	227.25432	58.16147	227.25328	58.17114	2.9958065	-228.38945	21.910503	0.06049255	0.0002572483	1575.5723910331726
