Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LossPi	LossQ	Time
1	17.878332	19.807758	195.24078	4.8482394	38.7965	0.9086214	40.39196	36.936653	21.489178	22.1	4999	5.8682847	4.505041	5.868232	4.504173	-6.7693925	0.11856312	38.285821199417114
2	18.198545	19.182756	228.0523	5.0064745	198.97913	8.729992	215.07074	182.0406	23.11574	116.05	9999	20.822515	9.325628	20.822615	9.320519	-22.57015	1.0898004	84.5420994758606
3	166.09782	38.934105	211.51741	34.54863	178.34906	7.0872545	188.43811	162.36147	95.61539	101.7	14999	37.991272	15.189623	37.99187	15.182425	-40.171833	3.9621868	130.9142415523529
4	199.21855	17.132315	237.77002	160.9793	188.32481	10.397021	208.45967	161.36243	117.06977	109.45	19999	56.61531	17.836632	56.615932	17.829319	-59.031223	3.3373032	181.19186544418335
5	141.76952	47.218254	209.48479	67.23802	90.239975	5.8907695	95.40662	76.45155	81.7377	52.9	24999	65.93913	22.052168	65.939606	22.046146	-67.90584	3.1815083	226.2064859867096
6	194.4877	20.418459	227.82408	88.1226	174.00554	4.9145613	181.69469	165.0759	112.59091	98.4	29999	70.80011	26.255306	70.80053	26.248787	-72.506516	3.5110593	276.344199180603
7	159.41484	54.670242	210.91693	19.22793	189.83353	1.6664084	193.48743	186.75	87.13793	93.65	34999	74.39829	28.190317	74.39894	28.183632	-76.69384	4.176085	322.2572093009949
8	219.67899	21.05875	303.95206	180.93965	305.0371	5.6802526	313.43616	292.9845	102.265305	126.4	39999	89.90553	29.154127	89.9051	29.151476	-92.31096	6.2216506	372.64285922050476
9	328.9131	172.9415	1119.1841	138.93294	515.3036	81.37368	593.8781	352.40582	134.37837	230.45	44999	105.86582	31.134346	105.865364	31.132488	-109.34712	10.697916	419.34691047668457
10	531.07806	257.7538	1201.7714	229.02084	470.63345	40.405987	541.36395	343.38336	225.0	200.2	49999	125.357735	30.47283	125.35649	30.458458	-128.69118	18.997818	470.65712881088257
11	479.63257	170.68205	811.5318	227.24422	642.73083	146.10481	973.8637	486.11063	180.25	207.25	54999	141.61432	35.44999	141.61345	35.446156	-144.78262	23.85062	520.2263329029083
12	557.71204	207.01889	917.2777	66.94649	656.4166	11.317201	687.8938	640.89105	186.74074	206.1	59999	154.46631	40.836456	154.46643	40.83	-157.33838	26.896303	569.8029766082764
13	621.33466	177.67685	950.1545	307.269	731.93164	100.11505	798.77094	307.1705	207.91667	237.0	64999	164.52444	44.80693	164.52602	44.808216	-167.41685	26.834513	620.7792522907257
14	487.86423	212.4021	838.1158	249.72453	412.33398	38.36463	475.04877	372.2086	179.60715	149.05	69999	178.41136	49.4483	178.41202	49.45103	-182.13235	28.375391	669.9888999462128
15	466.53043	83.92987	751.4899	311.7181	420.99155	28.901579	462.23184	355.49493	161.46666	147.65	74999	192.8948	53.029728	192.89673	53.02132	-196.45427	29.781843	720.5249998569489
16	439.08813	196.51216	788.0914	41.922047	776.3723	150.40535	864.54987	154.31152	154.69698	223.55	79999	194.7464	55.911293	194.74672	55.912548	-197.29442	27.715431	766.7590374946594
17	400.15598	352.20032	1166.8884	23.982655	969.0965	233.97865	1449.2555	760.47284	147.17647	304.85	84999	195.20122	59.552402	195.20284	59.54917	-197.82257	28.388504	819.4691443443298
18	938.6425	762.66486	2929.831	170.66447	1091.3909	130.82602	1419.061	954.05225	320.66666	330.3	89999	199.51375	62.967957	199.51485	62.96874	-202.2205	28.960587	867.3999328613281
19	1105.6185	570.9799	2651.1846	261.99884	768.197	600.62195	2096.7236	263.30768	346.33334	261.25	94999	205.10927	66.00134	205.1099	66.00112	-207.95291	29.029024	920.4419617652893
