Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LogPi	LossPi	LossQ	Alpha	LossAlpha	Time
1	120.17952	33.42887	236.43553	78.37707	176.60526	5.467388	186.57011	167.54514	23.985577	39.8	4999	70.35949	48.22858	70.36028	48.233837	3.9305859	-77.908485	11.722333	0.13770184	2.0291722	46.73311400413513
2	127.51659	45.987083	315.89694	78.304634	114.44896	3.2910907	123.14602	109.093796	25.38071	24.1	9999	353.4026	159.83147	353.4001	159.92726	20.222551	-388.0323	173.65253	0.19540101	-0.5976555	100.91730785369873
3	201.29852	67.53253	361.17416	76.77187	230.8853	13.974557	255.42981	210.24057	40.770493	50.65	14999	666.36084	192.46646	666.3551	192.85384	16.578548	-705.1291	1072.5281	0.28556734	0.12263577	159.0949511528015
4	285.1929	98.390884	625.765	87.31676	341.74216	44.69138	428.3658	227.71338	58.244186	62.5	19999	676.85095	210.00504	676.83093	210.37479	16.800413	-704.63446	1053.1748	0.22268201	0.042765547	217.03724122047424
5	308.51755	84.653435	527.51855	133.9259	349.10526	41.119568	438.5486	242.69533	61.292683	64.0	24999	582.0415	193.91174	582.0292	194.2	16.960701	-602.5488	739.0491	0.1963907	0.0072400062	275.62758779525757
6	273.8541	70.25264	511.7437	152.92485	255.56279	17.02688	288.06354	230.92177	54.336956	48.85	29999	525.4329	170.93472	525.43604	170.96191	16.833227	-541.7822	554.57263	0.15405495	0.026574908	333.18951320648193
7	319.68723	81.6782	564.8963	188.59209	311.877	33.66472	364.25473	241.61531	66.09333	59.85	34999	452.5094	157.93562	452.5077	158.04514	16.931688	-464.9872	385.18256	0.13441053	0.009304033	391.05110788345337
8	320.78442	98.92318	594.87634	136.1639	469.47403	89.767456	687.1591	309.93933	62.0375	94.25	39999	400.59207	143.791	400.5908	143.84276	16.89155	-411.05225	301.21524	0.122219995	0.012998727	450.377290725708
9	333.2844	77.71292	540.7044	180.5379	255.91428	80.53089	416.3396	187.08185	72.95652	56.1	44999	366.23575	131.45815	366.22794	131.518	16.95083	-375.15726	302.5245	0.10809573	0.0052981065	508.9760525226593
10	346.55582	67.23377	594.6635	184.33624	421.98184	117.182274	608.18774	263.46375	69.985916	89.4	49999	332.56815	121.70971	332.56317	121.75087	16.968382	-339.47586	251.3715	0.10153318	0.0032343047	567.798751115799
11	359.4562	74.194695	598.53046	182.06975	319.81927	23.779963	384.91785	279.5321	71.74286	62.35	54999	306.36557	113.06112	306.35797	113.09741	16.859146	-312.85706	190.11063	0.08731811	0.012655397	625.9073040485382
12	380.44366	88.26457	632.5408	200.5663	340.83835	61.310738	556.0067	247.4394	76.28788	74.4	59999	292.7893	109.389626	292.7861	109.40225	16.957111	-298.40295	162.8809	0.07910966	0.0034348136	684.4406216144562
13	329.46094	114.55622	678.6904	115.59506	356.81696	40.092285	432.8893	284.80017	68.328766	64.2	64999	272.80484	106.70074	272.80322	106.71191	17.005665	-277.42776	160.13129	0.078119665	-0.0004026972	742.2193858623505
14	418.54205	86.24332	652.3833	267.556	385.8686	58.11318	529.26184	289.51392	82.2459	77.05	69999	254.5953	100.9903	254.5941	100.98779	16.947956	-258.71585	137.63733	0.071712166	0.0039109923	800.5967299938202
15	392.89835	104.9727	752.28406	227.78268	366.25284	77.87399	600.753	298.54388	78.30159	70.95	74999	245.0931	99.734215	245.09277	99.72577	16.956354	-248.97183	121.4177	0.06984222	0.0030777783	859.4265263080597
16	428.47635	132.39163	982.70667	187.13228	361.0239	42.203495	432.3814	288.9265	87.56896	74.45	79999	238.64	97.53302	238.63902	97.52025	16.954386	-242.31207	116.06436	0.063161574	0.0030126465	917.4586129188538
17	421.07153	123.201675	1001.1871	240.2767	349.62555	38.087006	472.05817	298.02505	85.13793	67.5	84999	234.54718	97.80192	234.54575	97.79639	16.973118	-238.0123	108.05005	0.059869874	0.0016897914	974.9901938438416
18	379.7962	96.01139	783.63403	246.84334	303.7858	31.194883	391.23618	251.14552	79.95238	62.95	89999	230.12123	98.881905	230.12097	98.880005	17.034836	-233.30272	106.772514	0.062166255	-0.002143163	1033.0209834575653
19	450.40793	117.30366	843.0264	295.0624	483.59	73.97813	724.50415	378.79645	88.89286	91.35	94999	225.85547	96.94916	225.85515	96.947914	16.949434	-229.00415	101.675514	0.060661443	0.003141647	1092.2227833271027
20	460.3755	101.61013	719.08905	245.48625	436.83212	59.5364	574.61127	318.60254	91.70909	91.95	99999	225.6264	95.60884	225.6263	95.60547	16.97412	-228.69127	92.9385	0.057867456	0.0015325734	1151.1189532279968
21	407.65582	96.95163	674.3778	253.22029	397.70752	27.951485	449.53284	345.65845	81.95082	73.8	104999	225.5502	96.606636	225.55017	96.59941	17.000986	-228.4126	90.88675	0.057122193	-2.6923442e-05	1208.5540890693665
22	397.89005	84.526054	648.2843	212.36623	338.19766	19.174414	375.8997	304.53162	76.707695	62.05	109999	221.4467	96.49419	221.44624	96.49055	16.977207	-224.07855	90.405174	0.056605287	0.0013025026	1266.3142828941345
