Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LossPi	LossQ	Time
1	121.5579	33.73386	300.45383	78.49864	69.74829	2.062761	71.09523	66.10899	24.203884	14.75	4999	30.627417	19.601702	30.628279	19.60057	-35.227463	1.8850235	33.78100347518921
2	120.64513	34.79596	327.91306	78.157135	75.609985	0.14050874	75.8178	75.40441	23.976076	16.0	9999	124.26934	48.668114	124.27072	48.66863	-139.61282	19.79936	69.0239474773407
3	196.39513	119.58819	474.033	71.473145	134.30026	27.827618	200.19958	86.235504	39.299213	28.05	14999	227.1885	73.453575	227.19286	73.452156	-244.9159	79.99929	113.46391773223877
4	179.44226	93.3489	637.2331	76.22163	337.6953	88.35888	551.3855	204.67108	35.856113	63.3	19999	267.5174	90.065605	267.52264	90.02457	-281.54333	136.29332	153.61444687843323
5	230.41788	76.04203	537.07086	87.25747	310.66992	54.69053	416.30054	178.93205	48.805824	67.25	24999	291.42978	100.66874	291.4306	100.66795	-306.8412	156.83046	198.39245343208313
6	300.81488	86.073524	591.04065	150.51135	404.45404	44.644672	510.61023	341.0997	61.555557	79.1	29999	299.21634	105.78999	299.2166	105.79994	-312.32086	157.40341	239.05096244812012
7	336.72678	99.63542	711.87476	194.08418	345.00253	47.421417	458.24368	270.3679	66.0	67.2	34999	305.51422	110.88708	305.51593	110.90412	-318.03244	155.65608	281.38192439079285
8	347.4875	91.77653	762.75543	183.38727	288.6504	49.34254	416.01773	222.52864	69.08219	56.7	39999	303.6138	112.30437	303.61523	112.311966	-314.70914	155.48662	324.78929114341736
9	352.2344	86.89023	702.81946	213.83498	387.7063	115.8813	770.05664	248.84087	68.875	79.95	44999	293.45093	113.94029	293.45132	113.94138	-303.146	151.1469	366.00143671035767
10	349.181	100.0335	745.0946	145.38832	385.3595	124.26713	744.8611	264.41583	74.32353	79.7	49999	280.5308	116.26668	280.5302	116.28358	-289.3969	141.41548	411.6855435371399
11	349.24698	56.202972	483.1679	215.24017	310.61508	64.63152	450.62018	210.56529	67.202705	58.1	54999	268.68988	117.55814	268.68924	117.56665	-276.85434	130.76613	453.30894112586975
12	343.77063	106.53989	908.2943	225.09357	307.22168	86.01072	484.19254	203.50337	67.77027	65.05	59999	260.9839	118.64063	260.9849	118.649605	-269.21667	128.35497	495.4972860813141
13	360.88287	88.10397	603.0372	197.28954	404.51895	76.26675	575.90405	310.27618	71.35714	77.65	64999	254.16154	117.17747	254.1643	117.18444	-261.4702	134.57448	538.5022492408752
14	404.88568	112.589516	750.628	236.54796	481.2945	179.01712	1097.0283	298.84406	79.190475	97.1	69999	244.71588	115.91849	244.71863	115.916504	-251.24495	127.32427	580.3371274471283
15	373.0914	104.95176	731.4432	230.83209	372.67206	46.073395	456.29382	276.36356	74.23881	71.8	74999	236.13867	113.9591	236.1396	113.96082	-242.346	120.15855	625.4751682281494
16	355.21805	72.72485	688.9265	223.42288	372.68073	56.70436	565.359	310.64606	69.0137	70.3	79999	229.5192	111.984436	229.51836	111.98975	-235.5357	112.85129	666.0604407787323
17	448.7384	88.13388	830.50836	285.82294	391.67148	54.906017	561.8824	329.66467	87.50877	74.8	84999	224.81795	110.37231	224.81845	110.37508	-230.72948	105.17556	710.0890703201294
18	462.98978	106.416084	798.20715	293.27905	492.27313	82.63188	702.78516	375.4176	91.12727	96.9	89999	221.65994	107.73138	221.66013	107.7304	-227.13126	99.257484	752.1572389602661
19	408.24118	105.61966	811.787	239.9667	424.23566	68.28378	575.9888	289.75638	82.34426	80.7	94999	218.85902	106.17862	218.85933	106.17927	-224.1479	98.53824	793.0688998699188
20	422.72958	128.62524	894.452	242.13464	492.29785	85.40192	748.1296	340.3762	86.68421	93.75	99999	216.1887	104.96116	216.18907	104.96564	-221.08635	100.94593	838.4862298965454
21	401.73825	94.7162	730.85266	196.02109	397.511	81.36623	554.808	268.69476	76.815384	74.7	104999	211.0051	104.06267	211.00522	104.07397	-215.51123	98.71749	878.8443038463593
22	412.2131	112.36039	787.54285	193.45212	498.06876	127.276215	882.3983	371.46976	79.84127	99.7	109999	207.42574	102.78687	207.42598	102.794266	-211.80196	94.16486	924.9443533420563
23	465.6565	110.45059	888.5118	236.22519	529.9392	143.1676	843.13635	350.58807	90.818184	104.1	114999	204.16255	101.4068	204.16345	101.41059	-208.37218	90.63406	966.6900146007538
24	500.6796	109.22074	938.3007	336.27798	402.84027	44.66231	495.9971	329.0891	96.78432	77.65	119999	201.94547	100.59092	201.94543	100.597145	-205.95995	88.08106	1008.339343547821
25	473.66577	130.5155	955.5789	314.95526	521.13855	150.95248	978.11536	367.7417	91.41818	103.5	124999	201.20573	100.380684	201.20592	100.385086	-205.23528	84.96862	1054.083415031433
26	513.0764	138.48245	909.7631	320.5532	589.08514	157.82683	1084.5986	400.2977	101.2	116.05	129999	200.9215	99.50167	200.92282	99.50921	-204.79507	84.53781	1096.252635717392
27	541.3299	151.8058	1077.5922	336.55524	374.62747	109.15004	702.035	265.28006	105.44681	74.2	134999	200.80692	98.67013	200.80765	98.6715	-204.51544	81.89421	1141.8059771060944
28	470.45306	112.626976	760.59656	291.06558	576.90076	171.65115	1168.5901	369.415	89.16071	111.95	139999	200.47223	98.23387	200.47331	98.239845	-203.96028	78.13775	1184.2171785831451
29	538.15546	136.82832	860.69244	299.19745	591.08856	197.33183	1076.071	291.34262	105.893616	118.4	144999	198.6475	97.960205	198.64732	97.9607	-202.02989	75.16003	1227.0140256881714
30	493.25757	140.58829	1029.7928	278.19373	549.69727	142.9752	850.0141	340.31293	95.90566	108.0	149999	197.24179	97.3468	197.24098	97.35204	-200.50755	72.86079	1272.732694864273
31	531.4385	122.84353	947.42004	289.59918	479.7541	133.43425	797.5317	342.1524	102.42553	93.25	154999	196.38557	97.290985	196.38649	97.296074	-199.86172	71.300735	1313.7764265537262
32	639.7492	163.99713	1340.8638	414.52142	502.99203	108.548836	715.5323	349.7718	123.439026	96.1	159999	196.91856	97.63772	196.9186	97.64092	-200.43051	72.00277	1359.1528296470642
33	601.6404	145.13756	1236.5475	413.91907	478.87482	83.8783	683.73145	328.1242	118.11628	96.05	164999	198.43898	98.17262	198.43982	98.177765	-201.7632	72.859024	1399.8865571022034
34	534.90247	137.99275	1041.6063	265.18036	583.4855	66.928505	725.4632	482.1488	105.0	118.8	169999	199.79797	98.93887	199.79852	98.94533	-203.12668	73.05595	1442.4289107322693
35	549.31323	132.96532	912.03094	331.7917	485.63608	208.70918	1351.718	340.94495	109.54348	97.5	174999	200.8144	99.20816	200.81433	99.21747	-203.99008	72.87381	1488.5725243091583
36	611.90753	154.49094	941.6913	301.48364	631.0021	124.03278	949.00104	479.8913	121.48781	122.85	179999	200.93178	99.63725	200.9319	99.6477	-204.02228	73.26815	1530.290246963501
37	567.6348	123.04342	1046.0996	285.21344	722.9865	143.90279	1084.8579	505.8159	113.022224	145.8	184999	201.8063	99.935455	201.8061	99.94496	-204.68864	72.61377	1576.8814647197723
38	667.54474	163.97896	1167.9514	476.18475	696.13434	167.74323	1040.1166	416.97626	133.91891	138.6	189999	203.48671	100.6216	203.48639	100.63316	-206.49162	73.4007	1619.175205230713
39	639.0685	205.42322	1305.3701	318.9098	646.6315	118.06932	963.89075	507.34573	126.69231	128.8	194999	205.16507	101.908104	205.16504	101.912254	-208.14122	75.357735	1661.5001845359802
40	681.34827	222.13594	1316.3243	438.55496	574.74445	119.18266	830.79755	408.25082	134.21622	117.0	199999	207.1361	103.21604	207.13568	103.221436	-210.24107	76.97682	1707.2446885108948
41	653.4236	122.57478	956.7091	443.19562	698.28357	190.25975	1259.311	430.69757	131.4359	136.65	204999	209.08362	104.661606	209.08354	104.66685	-212.10118	76.7346	1749.9821393489838
42	654.04535	198.36336	1153.9059	327.5911	683.09326	160.57884	1149.5659	453.58304	129.6842	134.65	209999	211.5113	105.59849	211.51137	105.60444	-214.4303	78.00392	1796.0516033172607
