Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LogPi	LossPi	LossQ	Alpha	LossAlpha	Time
1	1.7579267	5.602496	24.565329	-9.75293	640.92346	274.1681	1048.5621	337.42276	20.165993	570.85	4999	14.909962	12.921754	14.9098835	12.92802	2.6828103	-18.060337	1.35087	0.14436333	0.5410892	40.150651931762695
2	2.0142143	6.700545	49.68398	-13.526607	815.41345	358.9173	996.73444	73.280426	21.679653	842.6	9999	73.44191	32.52812	73.4445	32.538998	6.2826986	-81.80185	17.144608	0.14986931	-0.042742833	88.81226563453674
3	56.268566	135.22757	482.26215	-51.332726	161.18497	119.57958	407.17758	-0.5674451	155.70967	182.75	14999	131.27103	35.497204	131.27321	35.497322	5.1638947	-138.88693	39.7092	0.11306715	0.093895756	138.45664882659912
4	90.9821	92.018814	349.77524	-11.583647	75.043884	60.75706	194.98787	-14.2864485	174.44827	139.9	19999	125.789116	37.617233	125.79269	37.599007	5.8754807	-130.779	37.984673	0.053864818	0.007336106	184.07197332382202
5	196.00127	120.86993	383.0172	-3.958433	191.4676	121.264404	388.78702	-1.8002632	202.52	196.8	24999	118.10794	38.05325	118.10763	38.07069	6.0077853	-122.0577	37.792236	0.053403627	-0.0004119422	230.3583378791809
6	137.63287	97.02467	332.08783	-55.736187	161.92294	109.018166	467.1793	-47.870148	172.14815	159.35	29999	116.883026	35.260685	116.8833	35.265175	5.9758735	-120.28031	34.284786	0.054465856	0.0012815464	278.36333751678467
7	146.05508	110.221924	354.6854	-38.582317	170.11508	46.592243	273.34793	97.08635	179.16667	124.05	34999	109.75014	33.835194	109.74996	33.840828	5.941593	-112.33073	29.27467	0.04529687	0.0026481694	327.76195669174194
8	202.42065	108.83637	521.44135	8.394394	194.53062	48.7123	335.56396	116.04131	150.5	117.85	39999	102.688	31.259382	102.688255	31.26583	5.9628515	-104.83061	22.122362	0.037235025	0.0014138076	373.28796195983887
9	175.91106	110.24294	450.20584	-35.508476	180.27087	85.367966	309.62442	25.188839	152.64706	170.2	44999	97.25309	30.951937	97.253075	30.96407	5.9847503	-99.0297	17.737738	0.034628216	0.0005277999	419.2503516674042
10	287.55823	95.24838	453.54083	111.289345	201.81125	62.153572	329.1763	119.48216	178.57692	129.0	49999	92.26812	30.754423	92.2684	30.76031	5.9841285	-93.795074	14.8518095	0.032336954	0.0005164032	466.9503653049469
11	323.08096	157.60277	649.3582	57.406628	415.83295	163.87297	742.0346	134.058	244.77272	344.0	54999	89.074066	29.495003	89.07444	29.498392	6.006174	-90.4483	12.57025	0.0315677	-0.00018545323	518.6084454059601
12	389.065	168.10799	901.46216	167.07481	282.95648	83.60479	518.7882	161.35193	240.95	153.05	59999	88.11955	26.769915	88.119576	26.769215	5.965316	-89.36496	10.706287	0.03081878	0.0010507376	564.9129235744476
13	283.18112	152.62057	691.7668	5.2457166	165.1829	117.59322	421.8809	16.21174	212.29167	107.95	64999	87.999756	25.752148	87.99995	25.753746	5.992546	-89.121765	10.359288	0.027792819	0.00021238114	611.1275835037231
14	294.40277	160.33438	595.4845	26.962667	185.82079	161.60556	473.65955	13.9833	181.64285	186.5	69999	87.55833	25.871906	87.5581	25.876726	6.0205197	-88.57783	11.000853	0.028883832	-0.0005827221	659.2719671726227
15	286.73083	143.11195	643.541	16.85124	368.5	105.71342	602.3177	134.99832	168.86208	267.9	74999	88.16098	26.514826	88.16094	26.521734	6.0133214	-89.13156	10.933765	0.030762317	-0.00040322408	709.5970945358276
16	306.12878	121.85642	552.791	54.27219	314.70486	79.791245	496.63907	196.8296	203.875	181.3	79999	88.870766	27.895123	88.87051	27.901318	6.011614	-89.81201	10.576986	0.031860642	-0.00036894044	756.2515506744385
17	265.3725	122.40574	692.82623	-29.16191	416.52164	136.58888	700.0841	132.36198	156.42424	357.2	84999	90.30477	29.086758	90.305084	29.092327	5.9887805	-91.221436	10.440186	0.032386787	0.0003691238	805.3107697963715
18	283.45465	97.958176	548.6112	126.38399	329.75055	94.71775	637.9135	188.54718	148.18182	165.9	89999	91.19446	30.42839	91.19454	30.430847	6.00911	-92.08414	10.149114	0.032438725	-0.0002867642	852.1728429794312
19	325.1751	90.74783	487.6545	123.83739	322.4041	61.011375	443.6707	229.09322	163.03226	138.3	94999	92.89094	31.1087	92.89104	31.11092	5.992683	-93.77041	9.477944	0.03233825	0.00024341955	901.3971490859985
20	339.93408	57.388374	475.73187	235.27551	343.80396	109.10745	677.28503	215.68236	162.43333	157.8	99999	94.86795	32.071846	94.86823	32.074287	6.001103	-95.73853	8.961743	0.03203032	-2.9740006e-05	949.0201649665833
21	374.6752	121.53364	804.0212	218.90884	392.72345	110.310165	566.1442	182.68335	185.18518	220.5	104999	97.22043	32.72805	97.22059	32.7303	6.0000663	-98.07728	8.519345	0.03186932	4.600358e-06	995.3858239650726
22	344.735	102.39043	619.53845	159.28511	377.08548	160.18661	1004.37994	223.90157	193.62962	234.95	109999	99.347046	33.19704	99.34741	33.198418	5.987217	-100.1702	8.481292	0.03091709	0.0004046132	1045.2147359848022
23	368.90012	132.40836	716.55664	51.05355	364.85242	122.361015	689.85864	176.96893	233.38095	223.25	114999	100.55009	33.260647	100.550095	33.262882	5.9960074	-101.32564	8.433669	0.030156706	0.00012550848	1094.3326048851013
24	359.228	158.97406	868.1243	142.67523	302.4571	135.63577	802.7802	142.49298	238.61905	149.8	119999	101.24749	33.089798	101.24768	33.091705	5.999011	-101.983536	8.824315	0.029597979	3.492244e-05	1143.8901526927948
25	298.19373	119.92607	689.47375	164.52501	214.03433	19.05274	280.29907	191.99014	155.93549	106.75	124999	101.239136	33.162056	101.23944	33.16275	6.010453	-101.92976	8.909922	0.03025044	-0.00031198878	1189.1917390823364
26	361.48044	214.10545	1148.6566	157.76707	259.8598	49.204338	322.36804	173.01933	173.9	114.7	129999	101.33298	33.521347	101.33305	33.521973	6.006866	-101.99771	8.803024	0.031121343	-0.00021087608	1234.7202191352844
27	306.63693	106.71631	749.71643	166.62454	316.26508	118.03344	557.6839	28.608292	138.58333	152.8	134999	101.631516	34.11818	101.63165	34.118977	6.0035434	-102.278076	8.73331	0.031737365	-0.00010847721	1283.2426345348358
28	383.81494	126.49176	650.18097	204.11949	439.6232	131.90375	736.3835	272.7002	171.96428	225.55	139999	102.57348	34.487747	102.57353	34.48894	6.001093	-103.20065	8.648061	0.031878535	-2.9978108e-05	1332.5872321128845
29	363.96588	142.44348	920.38367	46.308434	321.4425	16.558636	352.2909	295.4926	156.66667	129.75	144999	103.61946	34.79266	103.61973	34.794346	5.9968443	-104.23409	8.776478	0.03283841	0.00010793295	1378.1543159484863
30	353.7851	105.59896	788.61316	147.34445	328.66132	27.749325	368.45834	255.48639	143.68571	117.9	149999	104.925735	35.269985	104.925865	35.27129	5.9938254	-105.54178	8.511833	0.03189254	0.00020095657	1423.5578882694244
31	283.4054	91.13634	636.77026	123.88172	222.24155	32.22963	297.39575	177.11446	121.07317	97.9	154999	106.58917	36.199047	106.58909	36.19801	6.0033684	-107.20567	8.466464	0.031785168	-0.00010126095	1471.5432515144348
32	295.60666	99.10547	491.37924	40.01684	305.47455	129.36024	621.5207	135.13953	123.46342	147.75	159999	107.71671	37.598026	107.71679	37.597008	5.98969	-108.31577	8.496253	0.031006953	0.0003250513	1520.4366331100464
33	353.0595	99.447464	663.671	218.77919	429.7036	123.58124	678.8584	159.59836	156.5625	200.8	164999	108.91356	38.45929	108.913475	38.45853	5.988052	-109.50981	8.46444	0.029523645	0.00035801035	1566.796552181244
34	343.24728	92.022224	632.9762	212.0021	452.27295	63.413433	580.3849	323.11487	148.36363	189.9	169999	109.83764	38.951736	109.83786	38.950386	5.9920206	-110.41749	8.498375	0.029262371	0.00023114106	1612.9761683940887
35	342.4894	125.11951	727.55054	173.73196	524.927	152.18346	931.44147	319.59662	137.05405	227.65	174999	110.362724	39.353436	110.36285	39.35132	6.010221	-110.928185	8.157728	0.02867128	-0.000286276	1662.0367424488068
36	294.51505	120.43519	781.6113	170.15468	362.23938	201.97565	1042.786	186.75046	115.5814	141.85	179999	110.8487	39.699074	110.848976	39.69785	5.991472	-111.40196	8.139314	0.028804462	0.00024904293	1712.0215280056
37	343.5131	126.426735	633.7877	160.06361	183.49525	17.795218	235.48944	157.70268	139.91667	93.95	184999	111.3588	40.194046	111.358765	40.193268	6.0061793	-111.891174	8.292521	0.029386558	-0.00016905113	1757.5407147407532
38	368.81146	121.19109	674.1472	160.41153	371.20172	75.059525	543.9424	280.95093	154.40625	147.15	189999	112.29112	40.694023	112.29125	40.691044	6.010713	-112.83913	8.237179	0.029985547	-0.0003108424	1804.015733242035
