Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LossPi	LossQ	Time
1	2.3312683	5.277861	24.226402	-9.23101	96.79209	85.28679	456.422	50.988575	20.704166	198.85	4999	5.6959357	5.332722	5.696138	5.332094	-7.8558106	0.1887322	26.70730495452881
2	1.4927258	5.28416	22.373186	-10.797777	-7.0871744	1.0499741	-4.954108	-8.8986845	19.426357	66.75	9999	27.999771	13.363865	27.999853	13.362188	-32.890724	1.6439967	61.14339089393616
3	197.15936	208.83733	770.4309	-36.31136	125.85364	129.5566	393.551	-40.25884	257.5263	195.15	14999	60.100975	17.937391	60.10081	17.936672	-65.293365	6.6267233	97.24007606506348
4	154.47424	103.54713	410.31125	36.85603	105.33468	93.233635	367.34558	-25.94404	187.66667	158.75	19999	76.294106	18.41547	76.294624	18.414656	-79.98766	9.285267	133.80508470535278
5	144.1312	102.87632	317.52728	-30.74431	84.166794	142.73572	474.37292	-38.689198	157.6875	194.95	24999	84.045876	18.593586	84.045906	18.592379	-87.02597	10.409631	171.1883614063263
6	182.52579	118.43049	457.5179	-21.685251	258.7667	149.08015	585.5931	27.883915	174.67857	235.75	29999	86.72793	20.24366	86.72827	20.244946	-89.34591	10.590606	207.41013717651367
7	200.71591	94.9414	366.98877	4.4764714	244.48743	125.05964	538.71844	64.00502	159.59375	178.05	34999	90.43817	21.625011	90.438446	21.623102	-92.81419	12.253997	245.49094414710999
8	189.56168	104.00432	345.97162	6.2296844	204.07742	89.14676	420.5783	-9.873157	146.02942	173.15	39999	93.4371	21.94119	93.43732	21.940784	-95.558876	12.171763	281.9635031223297
9	197.75107	101.675545	458.1933	-2.5621722	206.86612	81.13049	335.23944	37.515896	129.07692	151.65	44999	94.99498	22.28408	94.99536	22.280918	-96.84557	12.221185	319.49368238449097
10	214.54297	99.00981	482.7793	2.263468	212.05493	90.76924	387.2271	37.369022	146.05882	170.65	49999	95.83647	23.398314	95.8364	23.399683	-97.60409	11.950435	354.44377040863037
11	239.0131	71.59592	395.07617	15.257068	264.2812	76.2131	482.2985	141.77826	157.15625	153.75	54999	96.47158	24.13207	96.471664	24.131798	-98.10679	11.924791	393.090797662735
12	228.15428	133.60321	508.72556	20.929483	130.86456	112.373085	390.41537	7.6237035	145.23529	145.2	59999	97.43002	24.61155	97.42995	24.609653	-98.96783	12.127076	427.15665078163147
13	239.5938	117.66467	480.763	25.667215	224.01498	125.1017	399.67664	-42.681522	161.58064	214.2	64999	97.936325	25.324282	97.93579	25.326996	-99.39199	11.702223	466.6576039791107
14	297.8221	98.41939	602.27014	158.09413	256.74966	107.56318	537.34296	91.31123	188.88461	178.3	69999	97.580696	25.9984	97.58064	25.997555	-98.89194	11.164605	500.3917043209076
15	302.84393	136.17726	610.02277	37.68589	295.4112	236.11171	1002.15674	-161.02539	217.60869	286.2	74999	97.281685	26.432152	97.28165	26.432798	-98.51952	10.755542	542.9483251571655
16	263.61026	197.58572	745.33765	-62.304142	262.33215	166.43	635.2735	-2.5174165	231.22728	187.7	79999	96.64585	26.856909	96.64601	26.856043	-97.77844	10.827361	576.8140444755554
17	299.1782	160.63258	717.3502	98.52802	313.88263	205.2976	799.51184	-10.291681	208.04347	240.5	84999	95.55614	27.372011	95.55652	27.370485	-96.56265	11.038119	617.4092569351196
18	343.92407	122.622055	649.2388	149.05258	299.95645	184.7032	991.38043	144.04631	216.95833	195.6	89999	94.4312	27.386574	94.43088	27.387226	-95.359375	10.794702	652.7474229335785
19	302.60696	155.30725	609.42377	9.289207	310.01556	163.79327	683.2604	115.21075	197.84	172.95	94999	93.66808	27.075628	93.66746	27.073158	-94.61496	10.819046	691.8691046237946
20	317.23016	210.5819	788.8735	76.9353	400.81543	201.69785	905.33545	159.04419	228.13637	236.45	99999	93.25321	26.870651	93.25317	26.868933	-94.175865	11.09233	727.9896147251129
21	309.93445	168.8903	636.3047	45.980026	320.9579	199.91498	793.05554	113.78882	194.38461	180.3	104999	92.80853	26.865175	92.808395	26.85996	-93.6662	11.341306	767.1116433143616
22	347.938	215.9039	1015.4187	29.734068	517.8556	197.64574	1048.9753	185.49612	209.41667	306.35	109999	92.65101	27.209616	92.65087	27.20509	-93.43296	11.407496	802.5812430381775
23	358.45508	162.66132	672.8408	21.25759	360.87543	118.78436	701.7503	157.19054	175.75	163.05	114999	93.14534	27.910862	93.145004	27.906834	-93.94194	11.983795	842.0158245563507
24	352.31708	192.75275	1030.4543	117.871735	262.5071	141.11243	575.6705	77.97741	162.32259	109.65	119999	94.256065	28.648434	94.255684	28.647015	-95.07133	12.584492	874.8449087142944
25	290.42758	140.9327	690.72656	57.38142	435.5879	247.59105	1030.8835	107.826355	131.52632	198.65	124999	95.84643	29.53137	95.84641	29.52914	-96.714874	13.290247	914.9538159370422
