Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LogPi	LossPi	LossQ	Alpha	LossAlpha	Time
1	422.36084	156.2653	523.71313	110.90005	157.10942	40.306503	238.63942	113.64339	849.6	978.7	4999	12.312283	5.958949	12.311952	5.9601555	-4.5054564	-13.063697	0.0662026	0.12704977	1.6144025	66.58308267593384
2	481.70502	46.90358	522.33655	390.69815	214.43164	61.582554	293.49597	109.4828	1000.0	1000.0	9999	35.773415	10.018362	35.773422	10.020247	5.0174403	-36.8729	0.12887499	0.059640337	0.19912893	140.00929403305054
3	203.32315	147.44551	493.77087	6.077011	212.6897	120.6505	486.94986	55.51918	645.125	740.85	14999	68.09099	17.267824	68.09117	17.26957	7.833932	-69.11937	1.1933938	0.045374077	0.007780859	212.0570502281189
4	337.73935	84.13845	486.80286	233.4329	241.86438	100.046074	486.49802	112.19379	1000.0	796.65	19999	88.902534	17.14051	88.902504	17.141886	7.960053	-89.75188	1.586211	0.044959065	0.001834919	285.7332212924957
5	387.458	139.60812	489.38528	99.39233	264.55286	175.92938	497.536	4.423692	869.6667	661.7	24999	99.117455	16.00168	99.1174	16.00253	8.002559	-99.89731	1.567627	0.042843763	-9.026235e-05	361.79369592666626
6	509.19427	29.133614	549.5192	464.15082	460.7827	85.83302	570.18097	291.58405	1000.0	979.35	29999	102.74312	14.808181	102.74324	14.807944	8.017745	-103.50546	1.370727	0.045236543	-0.00078527967	437.37590646743774
7	463.83838	74.23223	549.5772	371.02872	625.90955	73.61551	765.7673	516.3438	931.0	1000.0	34999	107.55426	11.248238	107.55424	11.248272	7.9979744	-108.34677	1.6174432	0.04619405	0.00010396099	510.41689586639404
8	281.6877	252.08844	586.11035	1.4375356	490.69653	77.10158	640.67804	357.23276	564.6667	1000.0	39999	110.648865	8.541151	110.64875	8.54367	7.9586663	-111.39206	2.2962978	0.042996008	0.0017719681	582.6435401439667
9	499.79605	84.37597	618.30334	404.50897	379.55692	81.605545	641.07697	304.31964	1000.0	1000.0	44999	111.3149	8.959022	111.31501	8.967039	7.9848366	-111.99532	1.8630289	0.036995478	0.0005894721	658.6471054553986
10	473.92825	138.24898	655.1105	199.70631	460.18427	94.15535	581.48615	249.55077	898.0	1000.0	49999	110.98761	8.864359	110.987625	8.864241	7.974786	-111.58889	1.7379074	0.035364814	0.000905097	734.0334577560425
