Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LossPi	LossQ	Time
1	293.96426	203.07405	512.38916	10.753727	59.720684	68.92909	218.57759	0.4431906	606.0	454.45	4999	3.5872598	1.804002	3.5872147	1.8039365	-3.7842653	0.009026871	58.22644376754761
2	496.2714	17.582148	515.2869	470.61298	161.53177	98.53254	375.26465	86.31774	995.6	1000.0	9999	11.3026905	2.7205505	11.302676	2.719713	-11.728614	0.023924949	120.72336912155151
3	49.90745	137.27591	519.2352	-16.750107	48.879642	26.978159	97.54166	23.176373	234.90475	355.6	14999	18.811346	2.2999454	18.811243	2.3014846	-19.08979	0.16642185	184.52155113220215
4	142.8011	73.72897	253.78976	38.42921	336.8484	81.110535	567.4378	182.61305	860.0	1000.0	19999	25.080809	3.7382946	25.080769	3.73817	-25.598232	0.41517657	247.29074907302856
5	367.21487	105.38518	513.7596	235.4221	292.0181	116.18448	448.0114	18.925726	1000.0	843.15	24999	33.15892	4.064109	33.158806	4.0646305	-33.810158	0.55796546	310.51389336586
6	142.70834	157.00546	371.54123	-1.1183882	294.26068	173.12015	553.0385	-1.041893	468.27274	872.3	29999	39.555695	3.913754	39.55564	3.9133265	-40.13904	0.70610183	373.3598527908325
7	366.01846	128.91357	519.74207	146.45226	121.54846	180.92407	519.60016	3.021722	1000.0	248.45	34999	43.810555	3.971832	43.810436	3.9719236	-44.315758	0.81554025	436.1128282546997
8	245.38826	223.20943	586.7879	5.283575	353.93427	154.54283	691.2123	176.3811	551.7	1000.0	39999	48.09289	4.744589	48.092884	4.7438107	-48.818726	1.0005431	499.1726005077362
9	417.73358	102.97229	559.3608	245.49779	431.27783	97.953026	630.39105	285.09717	1000.0	1000.0	44999	52.88305	5.645558	52.883057	5.6439853	-53.594837	1.2580826	562.4990727901459
10	500.19922	88.75912	607.473	367.115	301.99954	192.20038	706.73615	5.961533	1000.0	713.8	49999	56.207718	6.126947	56.207676	6.1258855	-56.8168	1.2254096	627.2778580188751
11	119.40033	193.9361	620.3826	0.9783353	2.0631232	0.3120425	2.5902216	1.244955	309.2353	20.0	54999	59.514168	7.0043883	59.514194	7.0033813	-60.16085	1.4482663	669.0149264335632
12	228.49435	199.00754	455.70984	1.1102561	369.01025	93.96232	539.90735	222.52542	580.0	1000.0	59999	63.272144	7.3707857	63.272106	7.3718777	-63.963642	1.758241	731.4481477737427
13	429.05493	91.98179	584.30237	335.51166	395.15344	101.52217	634.2411	223.94669	1000.0	1000.0	64999	66.25378	6.9098954	66.25369	6.911051	-66.94087	1.5295756	794.1730732917786
14	421.96524	82.56584	521.93195	288.8078	460.22647	124.19427	632.4286	181.51274	1000.0	1000.0	69999	68.997955	6.4441085	68.99786	6.4439344	-69.68916	1.6597266	857.0066885948181
15	472.97137	62.958744	548.64374	384.4439	442.93546	139.21823	651.26776	25.034801	1000.0	927.6	74999	71.55581	6.127423	71.555695	6.1264596	-72.27583	1.6044495	920.2972419261932
16	488.41406	65.227005	554.64764	383.89145	525.95416	125.03507	731.45184	259.1239	1000.0	1000.0	79999	74.23305	6.4355717	74.23303	6.432096	-74.99498	1.7649446	984.9534995555878
17	211.56467	269.56494	637.7735	0.5333496	231.46591	129.77011	627.2732	18.402729	397.07693	824.05	84999	76.21654	6.988069	76.21663	6.984237	-76.916725	2.0107489	1050.4751946926117
18	391.878	189.4061	703.376	178.30673	394.4546	115.629395	544.51495	111.59191	1000.0	1000.0	89999	78.00381	6.5921555	78.00382	6.587035	-78.70273	1.7413235	1114.7999126911163
19	461.3558	30.381933	502.587	409.2932	255.6667	116.704445	601.2802	131.1364	1000.0	1000.0	94999	78.87495	6.261431	78.87489	6.258412	-79.51154	1.6032956	1177.9719758033752
20	291.76895	206.06636	514.2457	-2.2674918	170.03154	218.01392	570.662	1.041812	721.1429	412.5	99999	80.09911	6.2214327	80.0991	6.2173595	-80.83069	1.7153156	1240.6489272117615
21	277.8521	233.305	584.9024	0.33452114	303.92426	119.769615	570.5714	13.071827	633.875	911.7	104999	81.68256	6.26057	81.68254	6.262368	-82.35104	1.93737	1303.2672460079193
22	317.7319	67.32897	420.96384	246.8162	396.7434	108.27498	678.33954	252.38908	1000.0	1000.0	109999	82.49604	5.81028	82.49592	5.814298	-83.11293	1.656495	1366.0119740962982
23	381.18558	71.31667	469.7996	270.77124	444.9982	122.36925	747.82025	289.02087	1000.0	1000.0	114999	82.91106	5.4850903	82.910965	5.492749	-83.48963	1.3934702	1428.915013551712
24	376.70035	242.62439	603.261	0.353969	487.48163	157.06299	672.9271	75.325836	720.0	915.0	119999	82.939644	5.031533	82.93966	5.033218	-83.49958	1.3093807	1491.7473924160004
25	511.04175	81.9788	596.39124	358.0116	515.9397	137.88461	725.675	198.35219	1000.0	1000.0	124999	83.0056	4.9090476	83.005585	4.915137	-83.56967	1.2998506	1555.8662264347076
26	414.51093	162.4324	624.1908	203.13884	536.4689	106.124054	670.5296	310.92358	1000.0	1000.0	129999	82.94025	4.948612	82.94027	4.951209	-83.48754	1.2480717	1620.5519239902496
27	519.8371	88.18335	645.8229	401.45453	467.24918	192.91437	819.4906	1.1631311	1000.0	911.85	134999	82.974976	4.9395843	82.974915	4.9475923	-83.5582	1.2743559	1685.1376049518585
28	162.6382	252.14853	688.2053	0.98056656	371.68588	164.62482	680.62537	71.95827	326.6875	960.65	139999	83.10737	4.7156982	83.10737	4.717675	-83.662384	1.1803312	1749.1291654109955
29	356.56027	133.59483	530.5825	183.16423	471.8623	150.11955	735.2212	197.82355	890.0	1000.0	144999	83.14621	4.803248	83.14601	4.8078303	-83.694565	1.6341159	1811.4371056556702
30	456.79922	192.99075	679.9682	93.254196	544.8052	116.65983	712.773	175.9492	866.1667	961.6	149999	82.74694	4.743263	82.74694	4.745134	-83.24518	1.1627082	1873.557779788971
31	541.5796	148.20233	744.6284	283.33774	562.57306	91.9571	719.2594	388.02774	886.6667	1000.0	154999	82.40401	5.028179	82.40393	5.0353703	-82.89411	1.1314225	1935.8290848731995
32	544.17224	90.12081	622.7122	370.23825	516.8717	125.02004	714.0671	325.75647	1000.0	1000.0	159999	82.280266	5.394461	82.28028	5.3971972	-82.802734	1.0984025	1998.4509897232056
33	521.443	175.39767	734.83435	219.13857	530.377	125.624016	712.6832	121.377655	1000.0	962.9	164999	82.6119	5.843563	82.611824	5.8432374	-83.16438	0.99871796	2061.093557357788
34	442.5212	205.00684	632.3051	1.0895965	647.0362	70.26958	772.67584	479.4668	836.8333	1000.0	169999	82.98066	6.0542126	82.98064	6.0561795	-83.504166	0.94580764	2124.1548063755035
35	684.8876	53.58323	786.3303	637.01624	510.736	95.82329	663.70984	277.58838	1000.0	1000.0	174999	83.12431	6.059851	83.12439	6.0590386	-83.617256	0.9850753	2188.8757820129395
36	495.59717	79.83034	625.5855	383.6101	555.5543	145.67789	714.3943	169.46548	1000.0	1000.0	179999	83.14631	6.0203342	83.14624	6.019956	-83.64456	0.94842196	2253.3862974643707
37	517.8014	99.20836	612.41943	359.55594	544.61176	132.10121	747.68475	278.0335	1000.0	1000.0	184999	83.17303	6.0491076	83.17294	6.050565	-83.663086	0.9301571	2317.8790369033813
38	635.3455	51.995502	708.7919	549.6443	537.809	101.58244	734.57166	299.1935	1000.0	1000.0	189999	83.144646	6.0219207	83.14471	6.0251336	-83.639175	0.85171443	2380.475790500641
