Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LogPi	LossPi	LossQ	Alpha	LossAlpha	Time
1	-1248.1848	92.31924	-1098.7583	-1344.8849	-1591.7112	11.184248	-1546.7131	-1598.4684	1000.0	1000.0	4999	1.8661542	7.2248487	1.8668777	7.22149	1.1963613	-4.0227423	1.2421019	0.13747327	0.7374102	60.95012068748474
2	-1185.6096	117.7048	-1070.9052	-1358.5126	-1587.2123	6.0217724	-1577.004	-1602.4506	1000.0	1000.0	9999	52.8012	25.68834	52.80132	25.68727	6.473385	-58.30459	5.5855036	0.13014653	-0.066828296	129.74093008041382
3	-1318.4703	316.21066	-700.0097	-1570.2362	-531.63434	306.9194	-267.25082	-1209.0	1000.0	1000.0	14999	110.78106	9.319148	110.78127	9.318574	3.9612925	-112.99714	3.5777562	0.09856891	0.20026223	202.28862833976746
4	-710.6239	662.04047	250.94775	-1562.7845	-839.75146	685.6935	480.44128	-1434.4819	1000.0	1000.0	19999	92.40518	10.186315	92.40508	10.185806	5.7269244	-93.66461	1.8254937	0.04591774	0.013684696	273.53715467453003
5	-405.5118	604.3664	431.89917	-1437.1897	-705.5105	444.2489	667.3896	-1369.9952	1000.0	1000.0	24999	79.56489	13.583721	79.5648	13.582476	6.005665	-81.07133	1.7448351	0.053235363	-0.0002782795	347.24630212783813
6	-62.339893	696.23755	576.63214	-1148.8926	301.57886	419.29056	553.47314	-889.91797	1000.0	1000.0	29999	67.67042	14.098026	67.67041	14.097821	5.9856725	-68.69135	1.5064682	0.04451248	0.00066649314	417.1925687789917
7	-79.053024	607.6832	499.56268	-889.0098	487.962	79.99017	658.13525	369.88873	1000.0	1000.0	34999	58.77052	11.30997	58.770645	11.309773	5.984156	-59.839275	1.3799332	0.04388633	0.0006884889	490.295352935791
8	592.5124	128.43036	701.2311	348.40717	564.2589	103.68489	698.443	410.6845	1000.0	1000.0	39999	54.22105	11.129862	54.221226	11.129362	6.012243	-55.23549	1.2798681	0.04291349	-0.00051859743	560.0278511047363
9	620.7632	71.50677	701.20514	525.1901	542.4107	430.6218	710.72797	-1309.1649	1000.0	1000.0	44999	52.26933	11.204532	52.26937	11.204342	5.983995	-53.19959	1.1117568	0.04213923	0.0006795083	633.0827050209045
10	687.1569	10.529341	696.62726	667.0792	518.698	417.91772	683.1804	-1299.7318	1000.0	1000.0	49999	51.887737	10.550968	51.887726	10.551738	5.985876	-52.7846	0.98668945	0.03852278	0.0005476063	704.887913942337
11	621.341	53.43619	699.0266	537.0079	519.8728	488.98355	692.57275	-1589.4266	1000.0	1000.0	54999	53.247776	9.246976	53.247837	9.247111	5.9817696	-54.086643	0.94655097	0.03536113	0.0006439725	776.9113416671753
12	502.99307	239.60985	731.17993	49.600475	620.09985	48.904427	718.34247	545.5236	1000.0	1000.0	59999	54.11785	9.230554	54.117855	9.230353	5.9785156	-54.838287	0.93416816	0.031500787	0.0006818474	849.7633302211761
13	668.2731	48.84487	738.55597	598.8934	653.1591	127.17407	795.19586	194.525	1000.0	1000.0	64999	54.10692	9.6058655	54.10695	9.606253	5.989474	-54.774654	0.8342668	0.02915166	0.0003093	920.552273273468
14	337.36407	773.5429	750.63947	-1209.127	731.99347	58.70563	802.32715	532.33685	1000.0	1000.0	69999	55.412838	8.917707	55.412857	8.917378	5.990637	-56.090355	0.7593127	0.027915344	0.00026139055	994.1217820644379
15	694.48694	19.432013	725.1126	671.8304	689.84235	15.955882	726.25885	653.24396	1000.0	1000.0	74999	56.597095	8.753343	56.597168	8.752792	6.0049925	-57.24211	0.76852494	0.027547443	-0.00013161723	1063.8273289203644
16	713.8987	28.889326	759.97186	675.88416	671.0604	80.76855	803.0749	538.1186	1000.0	1000.0	79999	58.546642	8.980512	58.54664	8.980423	5.980749	-59.19885	0.69648886	0.026180325	0.00051037833	1137.1673846244812
17	720.0785	16.9867	741.36206	691.98737	666.484	27.156385	702.4114	599.3828	1000.0	1000.0	84999	60.517242	9.024894	60.51726	9.024936	5.99568	-61.1301	0.62691903	0.02499449	0.000110341265	1206.8665146827698
18	712.7757	118.92083	798.6459	479.90665	693.2749	21.35671	756.73395	679.23206	1000.0	1000.0	89999	62.08475	8.952134	62.084713	8.952594	6.0266085	-62.660374	0.6057684	0.026298823	-0.00068924495	1279.3812527656555
