Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LossPi	LossQ	Time
1	-1239.0906	95.313255	-1129.5016	-1397.1754	-1171.5559	162.44688	-859.904	-1388.3639	1000.0	1000.0	4999	-1.7498437	3.1923923	-1.7497525	3.1932228	-0.040912475	0.36099115	50.44367957115173
2	-1213.7378	152.00465	-1067.9235	-1471.4554	-735.27527	150.03941	-430.93512	-973.4223	1000.0	1000.0	9999	11.351923	8.570424	11.35273	8.57384	-15.046588	1.5883504	104.62522959709167
3	-1002.60583	285.17935	-690.138	-1408.84	-702.7676	583.0814	502.3736	-1284.327	1000.0	1000.0	14999	41.11199	12.248181	41.112965	12.248039	-44.88294	3.2345984	163.24042963981628
4	-613.8119	498.51685	-127.740616	-1306.6351	290.24484	191.47144	468.33752	-109.82604	1000.0	1000.0	19999	54.385483	6.82902	54.385944	6.82609	-56.657288	2.30322	221.33318519592285
5	-356.89246	490.85977	389.2367	-881.2178	-450.33237	701.25323	548.4544	-1475.2639	1000.0	1000.0	24999	57.049725	8.677268	57.049812	8.67787	-58.83944	1.7960533	281.9522867202759
6	-1007.6649	383.65045	-244.55399	-1252.4084	-260.87753	189.79219	-25.361387	-1004.5331	1000.0	1000.0	29999	58.278893	12.032584	58.279144	12.032475	-59.87035	1.7481672	341.9786319732666
7	-490.7163	307.61298	-110.12448	-985.18445	-840.79675	452.50708	562.79736	-1318.2997	1000.0	1000.0	34999	56.03985	9.259878	56.04004	9.260599	-57.451614	1.6192219	400.6825783252716
8	38.873886	208.02777	239.16588	-351.29514	300.21332	127.61408	583.25964	74.45726	1000.0	1000.0	39999	51.675144	8.971949	51.67505	8.972139	-53.052975	1.5316732	457.80159854888916
9	302.40424	354.51553	502.16736	-406.0312	465.7679	110.76937	607.1245	75.19095	1000.0	1000.0	44999	49.584328	10.38744	49.584236	10.38796	-50.9869	1.4542001	515.9375004768372
10	469.9173	63.721523	556.7563	368.99408	300.09106	209.99634	577.16974	-83.22833	1000.0	1000.0	49999	48.990208	11.919327	48.99028	11.919471	-50.44524	1.3779309	573.7456159591675
11	-458.52606	565.20483	441.75482	-1342.5088	445.51	142.54277	755.41425	214.24193	1000.0	1000.0	54999	48.65804	13.018898	48.65825	13.018291	-49.84808	1.5260861	631.5023849010468
12	70.29665	537.76984	628.7005	-794.66327	467.92072	380.1032	740.9638	-1163.5619	1000.0	1000.0	59999	46.505917	11.513358	46.505882	11.512865	-47.60307	1.378058	691.7015793323517
13	507.32666	59.1388	602.49664	422.2631	441.83243	57.287495	605.8133	343.8552	1000.0	1000.0	64999	45.29573	10.46384	45.295776	10.4639	-46.416016	1.239602	751.6823451519012
14	513.68054	33.83594	578.61816	483.44656	497.97052	136.91992	601.00543	44.438694	1000.0	1000.0	69999	44.851303	10.021227	44.85124	10.021715	-45.9487	1.1484067	809.688321352005
15	557.8165	25.724794	590.1257	514.62134	416.80942	122.16782	641.4999	155.74667	1000.0	1000.0	74999	45.122585	9.472366	45.122467	9.472107	-46.24432	1.0387533	866.5952155590057
16	506.9148	149.19662	666.4124	223.95064	609.07544	65.10507	727.4266	480.51932	1000.0	1000.0	79999	45.923923	8.79898	45.923847	8.798912	-46.953636	0.993325	923.4939186573029
17	610.72296	75.6275	757.6518	539.234	527.4601	391.48694	731.3557	-1152.203	1000.0	1000.0	84999	46.166214	8.01092	46.16618	8.010721	-47.07495	0.9540049	980.8717255592346
18	645.12744	26.892069	678.631	601.7374	676.79297	74.143715	764.77	529.61615	1000.0	1000.0	89999	46.301083	7.947481	46.301075	7.947114	-47.21392	0.9293187	1039.2636141777039
19	730.51917	88.48595	832.59534	573.6161	657.8532	385.5214	782.83295	-1017.42786	1000.0	1000.0	94999	47.212345	7.8409123	47.21224	7.8406157	-48.118664	0.87970567	1099.0964496135712
20	682.2927	40.940605	739.325	623.23676	736.8888	79.8118	815.64594	443.18896	1000.0	1000.0	99999	48.52757	7.864752	48.52763	7.863999	-49.420876	0.833709	1158.6528661251068
21	618.9027	128.97708	741.29926	381.65082	759.17896	35.710197	795.97723	662.81995	1000.0	1000.0	104999	49.869835	8.005161	49.86983	8.004962	-50.740437	0.81473655	1215.8036832809448
22	761.33875	21.720327	797.7232	738.46826	726.7955	42.607258	789.5817	672.53296	1000.0	1000.0	109999	51.085896	8.313169	51.085857	8.313625	-51.919724	0.8405701	1272.8805892467499
23	799.22253	51.41675	859.4384	710.9341	577.81976	655.48676	863.437	-1431.2627	1000.0	1000.0	114999	52.618908	8.558349	52.618824	8.558786	-53.46418	0.83630586	1329.8636910915375
24	776.34607	31.55276	805.5204	717.9136	814.57434	45.368275	857.55914	668.6515	1000.0	1000.0	119999	54.46583	8.788458	54.465805	8.788705	-55.306213	0.83945197	1386.7803978919983
25	802.38367	70.364746	854.4412	664.4234	451.2267	714.1083	871.1461	-1663.0806	1000.0	1000.0	124999	56.236	9.227836	56.235924	9.227914	-57.03276	0.85099894	1445.9503452777863
26	-923.45087	893.42554	848.5058	-1501.8666	173.1491	707.7468	732.47974	-1515.2472	1000.0	1000.0	129999	58.616688	10.017261	58.61653	10.018072	-59.495464	1.069316	1505.8554878234863
27	-891.2129	902.6625	786.7238	-1592.9961	-1603.1816	23.62784	-1504.6162	-1618.0558	1000.0	1000.0	134999	61.171143	10.248479	61.171104	10.248918	-61.967	1.1628555	1565.3644647598267
28	-151.30644	1148.1383	884.9192	-1594.06	784.3558	119.05144	907.42523	487.896	1000.0	1000.0	139999	60.62488	10.830606	60.6248	10.831088	-61.265633	1.002863	1622.0503787994385
29	870.2457	39.595196	911.88257	798.52576	926.4992	15.378188	940.91766	869.03595	1000.0	1000.0	144999	60.6497	10.761643	60.649643	10.762169	-61.445007	0.9746654	1678.6628711223602
30	921.70605	9.687906	937.366	908.23755	924.299	26.600668	961.3818	828.271	1000.0	1000.0	149999	62.005943	9.81917	62.005962	9.81914	-62.826176	0.8659191	1735.8028542995453
31	930.1579	7.409715	937.8885	917.93274	934.1507	23.421944	959.7226	886.93726	1000.0	1000.0	154999	63.434944	9.408117	63.434883	9.408541	-64.273766	0.80467343	1793.122747182846
32	923.7008	16.230854	939.89764	895.11145	897.988	19.546139	923.14136	854.0183	1000.0	1000.0	159999	65.16907	9.387878	65.16907	9.388349	-66.005684	0.7594692	1852.9231386184692
33	956.3834	11.266659	969.5515	941.9444	969.1585	8.588305	992.1853	956.0311	1000.0	1000.0	164999	66.86402	9.194629	66.86402	9.194864	-67.68911	0.70972854	1912.3330821990967
34	962.7555	24.233513	987.04736	918.52234	959.00323	10.203892	978.22766	934.92175	1000.0	1000.0	169999	68.480255	8.796961	68.48019	8.797429	-69.27785	0.6638419	1968.9118332862854
35	889.96594	155.37184	981.1837	579.7441	570.35114	412.64713	963.31964	-987.24866	1000.0	1000.0	174999	70.039635	8.52275	70.03965	8.523063	-70.8131	0.6095974	2025.8854682445526
36	988.8996	11.316734	1005.6663	973.09845	1053.6588	13.300596	1072.5826	1004.4999	1000.0	1000.0	179999	71.32921	8.383463	71.32924	8.38341	-72.08465	0.57676345	2082.539446592331
37	1001.8957	11.8639555	1017.4538	985.16565	957.2455	6.1706324	971.00464	940.5265	1000.0	1000.0	184999	72.582924	8.202954	72.582886	8.202985	-73.328	0.5361624	2139.5416996479034
38	1003.9081	10.515671	1017.82367	988.8553	1007.56775	6.824531	1021.5891	988.60864	1000.0	1000.0	189999	73.6771	8.119065	73.67712	8.119272	-74.38394	0.5205147	2198.4449923038483
39	948.2611	180.96204	1051.7256	587.4195	1065.0599	8.6134815	1079.3298	1047.6276	1000.0	1000.0	194999	74.63782	8.250945	74.637825	8.2509985	-75.35148	0.5195783	2257.971317052841
40	1045.4886	7.0159235	1056.4684	1035.0817	1078.9021	12.136702	1093.7672	1049.3712	1000.0	1000.0	199999	75.72274	8.409726	75.722755	8.409713	-76.41467	0.5106103	2315.491174697876
41	1047.1003	12.903	1064.7797	1030.4375	1039.5342	6.156973	1048.2402	1020.74133	1000.0	1000.0	204999	76.851036	8.427962	76.85108	8.427886	-77.56283	0.50004005	2371.822029352188
42	1032.7217	7.487982	1039.3523	1019.7464	1017.2987	11.509757	1038.9667	996.56116	1000.0	1000.0	209999	77.937035	8.517509	77.93701	8.517552	-78.626915	0.4841587	2428.3355298042297
43	1028.1487	15.715882	1044.3151	1001.95935	1048.774	80.52365	1080.41	699.3961	1000.0	1000.0	214999	79.0101	8.464984	79.01009	8.464948	-79.68543	0.4682406	2485.330591440201
44	1048.0165	9.473532	1060.2762	1034.6383	957.5915	272.2238	1081.7706	-82.71067	1000.0	1000.0	219999	80.031494	8.433045	80.0314	8.433166	-80.68663	0.45346373	2543.2402110099792
45	935.59424	221.87727	1060.4948	492.16885	1126.5085	28.54952	1148.8075	1042.0206	1000.0	1000.0	224999	80.880745	8.556349	80.88074	8.556493	-81.56441	0.45795655	2602.659595012665
46	951.91437	239.79298	1084.4951	472.64813	1114.2494	18.634285	1139.1941	1070.7451	1000.0	1000.0	229999	81.75078	8.5558	81.75067	8.55592	-82.377045	0.48372096	2661.0048718452454
47	1048.4241	10.0650835	1066.4583	1040.1445	1106.242	18.686352	1140.0829	1074.0358	1000.0	1000.0	234999	82.38868	8.991967	82.38871	8.991833	-82.996506	0.48108256	2717.3986191749573
48	1071.2858	28.31255	1104.7437	1025.3905	1061.6721	26.687136	1096.6315	1007.76447	1000.0	1000.0	239999	83.16341	9.000844	83.16343	9.000567	-83.796036	0.49035966	2773.683841943741
