Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LogPi	LossPi	LossQ	Alpha	LossAlpha	Time
1	20.029945	2.848872	29.965229	9.775283	52.64549	5.724455	64.90252	42.393856	11.564815	39.75	4999	13.400484	8.542443	13.400395	8.542832	0.10273734	-14.609399	0.4430249	0.13031016	0.3911818	36.02261018753052
2	20.01404	3.0082142	35.01991	13.162017	771.24457	2.6778252	776.7595	767.6168	11.801887	1000.0	9999	33.072075	16.11703	33.071754	16.119286	2.2214804	-36.481102	1.486873	0.06118971	0.052555323	93.49468564987183
3	761.2191	23.772625	781.8629	720.89825	894.3537	4.3056865	898.56885	882.9031	1000.0	1000.0	14999	55.981087	21.607363	55.981255	21.607798	2.940814	-60.541527	3.002402	0.041925304	0.002538792	154.89014220237732
4	450.36664	397.3693	894.3432	46.165894	97.84571	3.58235	103.74443	90.12264	529.625	65.95	19999	64.48548	21.346025	64.48552	21.342487	3.0014813	-68.174324	2.6292374	0.042027038	-4.370823e-05	202.8662974834442
5	406.24237	381.59915	893.9028	90.748505	570.09607	382.86798	917.6077	36.782265	432.15384	604.5	24999	69.42146	19.532448	69.4217	19.527618	3.010061	-72.47036	3.2444143	0.04019223	-0.0003887832	261.38883352279663
6	149.9881	216.3047	743.72034	17.513443	537.39734	425.8963	1007.0096	97.53019	168.7	594.55	29999	73.52815	19.190699	73.52804	19.179646	2.9711564	-76.121475	3.5492618	0.04202783	0.0011444199	320.11485624313354
7	657.95734	284.78793	853.05554	93.38037	1004.1791	2.3498015	1007.49677	997.93066	833.6	1000.0	34999	76.343735	18.260994	76.3438	18.25133	3.014757	-78.62702	2.9248984	0.03968744	-0.00054574374	379.7544593811035
8	867.7201	30.87352	900.89185	827.1812	987.32434	53.119324	1014.9271	860.9776	1000.0	1000.0	39999	78.92746	17.465296	78.92739	17.459856	2.9822905	-80.94431	2.4179823	0.035739966	0.0006571375	440.74475622177124
9	376.49786	258.63712	841.70544	149.95554	860.4513	272.17548	1050.7053	143.96616	423.84616	885.45	44999	80.62045	17.09377	80.62029	17.088535	3.0300148	-82.46396	2.0365438	0.0385803	-0.0011348933	501.5386710166931
10	793.85443	320.30933	1122.6836	124.965416	785.2921	185.66882	923.2139	222.363	853.1667	926.95	49999	82.09633	17.163647	82.096115	17.15946	2.956446	-83.77137	1.7422236	0.03654786	0.0015956259	560.4106216430664
11	482.17386	365.96393	1032.5765	125.108345	409.94077	297.558	1049.5768	167.84685	478.0909	367.25	54999	82.73339	16.807697	82.73312	16.803572	3.0086088	-84.27134	1.5408845	0.033704765	-0.00027659602	618.6370310783386
12	432.68515	353.86438	959.42377	93.43424	886.3893	180.68372	945.9081	99.44076	455.36365	958.35	59999	82.922005	16.404366	82.92168	16.40049	3.0001607	-84.3143	1.3992323	0.032866877	-1.0144114e-06	677.1464095115662
13	338.7763	293.21866	937.1454	36.90614	810.6605	445.31876	1291.6754	128.46254	342.7857	640.8	64999	83.04741	16.336851	83.04736	16.33274	2.9998088	-84.33164	1.5259581	0.033732526	1.1062574e-05	735.9029157161713
14	288.2188	224.03548	1111.0303	147.26352	760.435	251.0045	889.3024	218.12837	246.80952	850.65	69999	83.35799	17.29099	83.357834	17.289116	3.0049129	-84.57949	1.3972756	0.036112607	-0.00016419071	796.9590573310852
15	433.5668	194.70676	771.91364	203.0362	814.2301	204.208	906.3798	216.0806	426.27274	904.7	74999	84.210365	17.75793	84.21028	17.755907	3.0015695	-85.39434	1.3688786	0.035862744	-5.1909483e-05	858.2465415000916
16	644.0955	309.93054	1061.98	177.86816	880.41565	117.052315	1028.8068	385.3592	622.0	967.75	79999	85.12941	17.793142	85.12967	17.789686	2.9941993	-86.25103	1.3386757	0.035931822	0.00020742472	917.5949804782867
17	977.6937	115.62598	1077.0817	753.4019	946.28876	50.42229	1026.7268	887.20294	935.6	1000.0	84999	85.99028	17.770342	85.99048	17.76688	3.0057065	-87.05972	1.2810555	0.034893814	-0.00019501049	975.9662733078003
