Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LossPi	LossQ	Time
1	20.114565	3.267494	33.473003	11.142407	85.2052	8.218109	104.47399	72.91045	11.806147	55.0	4999	9.904152	6.3938756	9.903988	6.3948264	-11.207208	0.23020037	30.385804653167725
2	20.130302	3.043295	37.97187	7.997002	60.770386	8.615408	70.50401	35.471626	12.043478	43.35	9999	19.178974	9.8371725	19.179111	9.836604	-20.963467	0.24145967	66.19879364967346
3	85.29613	34.390568	161.77011	12.360883	115.68197	7.041098	125.14723	97.307915	61.580246	65.15	14999	30.397291	13.587622	30.396444	13.592693	-32.810104	1.923897	104.53245306015015
4	124.53856	7.28329	140.29709	105.53606	120.159775	7.8547616	132.435	102.36389	65.67105	60.95	19999	40.73912	16.738405	40.73963	16.737358	-43.208324	1.1515994	143.8890986442566
5	123.892815	11.842962	154.8259	97.32904	138.53577	4.1607504	146.25131	130.5424	63.679485	70.55	24999	48.99731	19.563705	48.997677	19.563131	-51.41318	1.312177	181.3527581691742
6	147.90161	10.476256	171.01353	119.31404	166.38353	10.327439	185.98515	146.09505	77.16923	90.3	29999	55.14233	21.761368	55.142292	21.761713	-57.50525	1.4981195	222.00973677635193
7	165.82448	13.499174	194.14546	138.87903	175.68222	7.309687	189.81546	159.72232	90.56364	101.9	34999	59.631386	23.406261	59.63135	23.40716	-61.873867	1.6339886	258.66847920417786
8	210.89653	65.34875	533.6037	163.25317	1013.78625	8.5652895	1049.5579	1006.72046	145.09091	1000.0	39999	62.720818	24.482931	62.720737	24.483826	-64.81157	1.7970833	312.6672921180725
9	859.6862	187.10495	961.79675	485.6809	1010.24475	0.9131727	1011.50366	1007.8758	884.6	1000.0	44999	65.82845	24.680336	65.82851	24.68136	-67.85083	1.8826305	363.3104329109192
10	268.72345	279.9053	1022.1199	60.23273	922.0207	2.9010477	927.9776	917.1973	266.8421	1000.0	49999	69.09388	24.661224	69.09404	24.662104	-70.94336	2.0691779	413.0480270385742
11	252.37094	205.66833	1031.1832	105.83166	225.60104	36.852654	303.93066	166.54437	196.34483	149.15	54999	71.91182	25.126404	71.91159	25.127396	-73.750885	2.1905088	454.68367552757263
12	562.29596	387.70325	1351.4331	176.03043	1115.6901	459.5322	1640.9558	292.42722	378.69232	690.6	59999	75.502754	26.231306	75.50254	26.233244	-77.38487	2.3754287	505.09426403045654
13	570.38965	399.58313	1652.7162	105.99161	1434.9534	386.5035	1735.5807	285.01678	330.2	833.35	64999	79.210625	27.348423	79.21038	27.34998	-80.94992	2.331975	553.8244254589081
