Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LossPi	LossQ	Time
1	-31.778479	7.471278	-13.720505	-59.139305	45.325626	18.417522	79.05029	1.2910013	19.53125	42.6	4999	-0.07122732	2.706945	-0.07102042	2.7064588	-2.6724932	0.14232643	49.10503840446472
2	-30.487413	7.514401	-10.058218	-57.78835	0.011629653	12.336471	32.836025	-18.547695	19.53125	38.2	9999	10.455975	7.6655545	10.456061	7.666404	-14.970581	0.3758213	101.34416317939758
3	9.004555	13.759555	69.61639	-21.153973	19.56307	18.823809	46.34122	-32.8291	31.2375	31.1	14999	25.221813	14.541891	25.222158	14.541231	-29.533863	1.0582652	162.47245049476624
4	5.4591403	13.648955	45.043476	-26.96072	10.012037	8.272737	26.463928	-9.547595	32.986755	34.1	19999	30.867535	20.235786	30.868185	20.236017	-35.21973	1.8418281	225.22048568725586
5	10.64971	14.701448	49.501503	-29.796461	15.66622	14.065039	53.51193	-16.437187	35.557144	48.15	24999	35.883976	22.972858	35.884205	22.973194	-40.2462	2.5361075	289.5706808567047
6	4.247828	17.40436	70.400925	-51.734196	-8.509367	18.606726	43.831055	-41.712288	38.899223	32.65	29999	36.342094	22.622782	36.34283	22.623413	-40.121086	2.870267	354.1082229614258
7	16.779064	30.282948	59.381947	-59.805172	1.300498	28.445772	46.779564	-56.626915	55.11111	61.8	34999	35.88485	21.597178	35.885384	21.595972	-39.434433	3.0905247	420.66819953918457
8	16.588076	27.302324	69.49266	-47.364277	-0.7023485	13.651888	20.001375	-20.180964	60.261906	47.55	39999	38.428123	20.824827	38.428387	20.823477	-41.845943	3.2377257	484.24203419685364
9	-13.859726	24.022738	46.967167	-74.0788	-2.0542336	27.589638	61.901417	-61.421658	50.131313	48.8	44999	39.54043	20.955767	39.54077	20.95566	-42.608963	3.5493383	548.189724445343
10	22.468384	23.25581	93.94362	-22.765244	38.54559	22.732407	83.069336	-1.9745697	54.967033	57.45	49999	38.706223	21.40966	38.70647	21.408482	-41.614826	3.5753293	611.8211886882782
11	15.469501	20.010168	72.872635	-24.73541	30.382116	33.88834	112.2233	-21.68507	53.870968	77.35	54999	38.469505	21.238462	38.469612	21.23767	-41.246193	3.6183867	677.2527866363525
