Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LogPi	LossPi	LossQ	Alpha	LossAlpha	Time
1	16.754074	3.5043411	31.803202	10.787355	50.13827	5.7920756	59.566154	38.086624	14.324713	44.35	4999	12.504585	7.615394	12.505131	7.6144447	-2.12372	-13.66114	0.24133484	0.12831955	1.0627943	33.612396240234375
2	16.79708	3.4580412	31.073076	10.702331	49.514015	16.148151	78.21897	22.101408	14.155367	53.05	9999	28.47369	11.917708	28.473944	11.914082	1.5305492	-30.758734	0.5917545	0.051673964	0.25102553	73.09086990356445
3	65.80314	85.376	697.52264	16.51235	78.677505	27.58293	121.53346	30.755621	70.1831	78.75	14999	41.595863	15.375368	41.596092	15.374502	4.6128893	-44.338764	1.5709974	0.023394693	0.036008697	114.6990225315094
4	80.58839	28.309093	160.68732	20.28702	93.71852	26.123281	162.09435	34.613983	80.33871	93.15	19999	47.453377	17.264559	47.45371	17.260649	6.0299954	-49.821526	1.3723127	0.018096454	-0.00056921557	157.03381633758545
5	78.910736	37.25963	149.81657	16.7132	75.88529	34.74767	127.7715	27.22556	83.21667	77.9	24999	50.416626	19.141933	50.416874	19.143476	6.007146	-52.469658	1.1971494	0.018601371	-0.00014268914	198.7223789691925
6	76.88034	97.52459	735.86456	10.939718	73.37629	29.604164	130.61731	29.930431	94.84906	84.2	29999	52.23504	19.984505	52.235313	19.98679	6.02371	-54.119938	1.6626289	0.02278868	-0.00050519744	240.91406631469727
7	118.48417	125.049286	813.6682	23.830313	106.2573	51.79583	272.77203	43.982082	140.31429	116.35	34999	53.953663	20.483135	53.953537	20.484001	5.9482846	-55.659542	1.7417097	0.020324768	0.0010685174	286.59173345565796
8	131.38602	116.90304	743.9428	38.939426	191.22847	179.84499	705.5531	22.103281	143.4	234.95	39999	55.34559	21.264032	55.345364	21.26365	6.068023	-56.921024	1.7517	0.020879759	-0.0014168564	341.1211647987366
9	151.13496	141.5605	791.37885	41.827625	275.69244	306.14627	806.7961	24.281075	168.96666	323.2	44999	56.31667	21.545229	56.316505	21.543472	5.8958077	-57.70385	1.7098769	0.01814607	0.002080173	395.81365489959717
10	173.46423	194.03268	779.499	45.274193	441.48984	333.232	792.77295	38.93089	218.04347	594.2	49999	56.928593	21.9086	56.92855	21.906431	6.049675	-58.23478	2.0742118	0.01820553	-0.00092785264	450.96628999710083
11	355.81625	321.29578	785.92175	40.156235	551.14874	289.97598	795.4935	18.843454	481.2	776.05	54999	59.657726	21.58413	59.657444	21.583544	6.0119085	-60.975163	1.9380513	0.021888155	-0.00024779313	506.02791810035706
12	291.80984	285.74808	788.38763	38.601994	119.93032	53.04044	222.79459	25.343826	353.07693	137.85	59999	62.200764	21.090637	62.20063	21.090208	5.9804525	-63.44415	1.7152464	0.021378243	0.0004127853	549.6938211917877
13	124.985825	120.31652	750.4813	30.554811	338.22382	290.97748	791.8228	46.106976	147.08824	423.9	64999	62.82566	21.31727	62.825695	21.316528	5.9893575	-63.923508	1.6811074	0.019045038	0.00021333773	604.394858121872
14	155.02632	97.60096	561.82837	41.19596	621.4847	305.48837	858.1252	55.01921	180.54839	728.8	69999	61.898506	22.263617	61.89831	22.263227	6.001423	-62.93707	2.0541866	0.019400233	-2.4213303e-05	658.9988043308258
15	212.20306	208.05484	799.73584	30.368633	565.1019	299.32257	898.3973	51.537155	274.11765	694.45	74999	61.67015	22.93931	61.669964	22.939499	5.990991	-62.69501	2.2255259	0.019374192	0.00017730895	713.9873583316803
16	352.40247	248.83966	755.4633	32.53274	610.7408	391.57687	903.4598	23.169786	411.9091	699.9	79999	62.814632	23.01051	62.81437	23.010096	6.0006213	-63.82463	2.1051128	0.018819112	-7.782006e-06	768.6827661991119
17	390.41013	315.1507	945.0279	73.73834	609.7821	364.21292	1004.4579	45.876705	460.0	642.9	84999	63.9233	23.059786	63.923206	23.059696	5.988254	-64.891266	2.269159	0.018711323	0.00021972595	823.2776598930359
