Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	AverageQ2Vals	StdQ2Vals	LossPi	LossQ	Time
1	16.919939	3.8929274	48.471546	10.579634	19.9906	3.779494	27.601175	13.909327	14.615836	21.3	4999	7.861026	4.945248	7.8607645	4.94548	-8.970578	0.11307064	33.410664081573486
2	16.644625	3.4518485	35.88249	9.922766	3.568676	0.6560657	4.639346	2.5400689	14.039216	10.0	9999	33.022896	19.355236	33.02324	19.35637	-39.18923	2.2769387	73.08304476737976
3	24.046766	24.36232	103.1144	3.9977622	52.04043	21.059313	99.486015	26.247229	25.875648	49.95	14999	70.63134	27.083586	70.63116	27.083662	-77.34714	9.559891	116.53179025650024
4	55.68326	25.404959	111.82878	-1.8909606	78.40694	35.889473	129.01186	28.994242	60.641975	86.9	19999	78.47908	31.062958	78.479164	31.059265	-83.773575	8.068981	160.61236000061035
5	58.78025	47.085407	296.31186	1.0549928	154.98059	208.29137	768.3103	34.052242	99.29412	214.05	24999	78.26636	31.375042	78.26648	31.370594	-82.7967	7.4727783	222.70716881752014
6	145.79184	200.66425	678.2506	23.065523	142.67816	145.60403	742.10254	20.12207	215.5	157.3	29999	80.25043	29.791874	80.25069	29.789303	-84.37897	5.9937873	284.6454336643219
7	187.5396	206.75552	711.3957	40.058685	360.48505	318.59735	760.1664	19.804607	223.90909	460.4	34999	81.01616	28.435326	81.0165	28.433027	-84.40864	4.942271	345.6557459831238
8	96.72326	134.01218	742.6134	10.022147	63.41081	27.71319	118.2024	20.76636	115.95652	64.05	39999	79.45048	28.307615	79.45085	28.306826	-82.22409	4.8434153	389.95796394348145
9	115.78087	138.8029	761.5696	10.651608	203.61716	212.43785	765.5371	18.799517	128.42857	263.7	44999	75.846535	29.50704	75.84635	29.505941	-78.29171	4.5362954	451.4619052410126
10	173.19975	206.09384	728.21027	18.407518	210.6562	241.24164	881.5285	64.36516	220.4	251.5	49999	74.27867	27.847504	74.27851	27.843819	-76.57184	4.0310664	513.8568441867828
11	109.78955	49.405056	234.61673	13.132413	251.98941	293.00604	820.56165	36.17628	103.0625	309.7	54999	72.32278	27.88516	72.322784	27.880562	-74.31563	3.6485984	576.0402143001556
12	202.9521	207.06003	815.2757	35.88196	134.9932	152.83731	775.5432	18.67461	234.71428	158.2	59999	70.07327	27.910782	70.07337	27.909615	-71.8282	3.3466456	638.3512964248657
13	500.57623	285.41504	822.53046	157.44484	601.7997	274.49594	791.93616	17.082083	657.0	785.5	64999	69.11817	27.343632	69.11822	27.340696	-70.83584	3.065605	699.4890050888062
14	470.98895	292.26312	772.043	12.806415	500.35117	296.77463	853.4146	29.886915	680.375	719.85	69999	69.72066	26.804583	69.72067	26.802904	-71.41212	2.9195287	761.7008039951324
15	322.93088	282.215	701.5035	13.09989	569.1604	266.6795	815.51544	62.70587	441.63635	759.2	74999	70.73278	26.123466	70.732834	26.123476	-72.35651	2.805294	823.9929070472717
16	503.32455	238.32964	792.84564	166.39235	524.98193	293.1473	892.1527	110.93478	734.0	648.55	79999	71.0664	25.213764	71.0662	25.212934	-72.5301	2.6817896	886.3006381988525
17	271.64258	232.14665	803.095	34.262333	655.7472	242.27112	812.217	12.158789	319.70587	841.7	84999	71.22199	24.404396	71.22188	24.402943	-72.62443	2.5139189	947.3931798934937
18	659.1632	174.78566	795.74554	287.68814	430.89337	298.2612	782.559	20.25548	849.1667	591.8	89999	71.49132	23.761246	71.49118	23.75964	-72.87585	2.4666498	1010.4805409908295
19	530.4316	285.1517	780.75745	10.920172	571.3489	179.36534	868.0889	180.62234	739.8333	895.4	94999	71.66771	23.19979	71.66765	23.197855	-72.960884	2.2888222	1073.804921388626
20	571.7567	212.94206	790.743	200.59412	619.2637	288.88565	872.31946	14.755635	807.5714	785.95	99999	71.696655	22.446548	71.69656	22.445633	-72.96424	2.1507683	1136.682629585266
21	533.7415	233.81294	820.0087	254.60197	648.6382	221.70775	906.4126	90.660484	640.8571	882.35	104999	71.88168	21.942772	71.88169	21.941269	-73.09875	2.0619311	1198.0670382976532
22	421.5428	281.31583	808.957	81.74244	392.58862	319.36804	802.6099	82.665016	517.3	471.55	109999	72.20592	21.628275	72.20567	21.62698	-73.34342	1.9566574	1260.5806818008423
23	541.9169	269.3995	792.01624	128.57205	605.1232	263.63208	804.54004	74.83047	683.0	814.45	114999	72.35121	21.52052	72.351265	21.51912	-73.42324	1.8520529	1323.123647928238
24	490.172	352.97696	910.4085	52.25177	726.1968	47.260864	818.73474	643.7396	606.875	1000.0	119999	72.22827	21.248634	72.22818	21.246677	-73.2639	1.8026979	1385.8101732730865
25	599.21533	139.49524	745.9981	394.71082	802.8739	190.73639	987.8096	15.58583	782.7143	955.15	124999	72.008484	20.851307	72.00845	20.848806	-72.96315	1.6628213	1446.9654574394226
26	498.7599	263.87308	801.45575	35.847126	795.66223	116.92927	919.84424	464.009	618.5	948.7	129999	71.708755	20.665058	71.708855	20.663572	-72.64423	1.7008891	1509.7879405021667
27	664.77655	220.2379	874.2781	264.89786	822.6883	187.77747	1002.034	65.34511	797.6667	953.65	134999	71.80879	20.437822	71.80885	20.43587	-72.70197	1.5782748	1572.5188455581665
28	458.8226	339.44595	962.6803	42.0103	845.7878	258.95486	998.7637	62.91419	500.5	914.65	139999	72.059715	20.293234	72.05975	20.29258	-72.95072	1.6202799	1635.316165447235
29	496.24225	389.75027	948.3821	42.079693	739.77795	301.81967	908.1324	19.104675	543.8889	861.15	144999	72.626915	20.23683	72.62685	20.23486	-73.530975	1.5540019	1697.1080403327942
30	478.69882	371.14456	903.24536	39.96893	783.71155	367.33304	1004.2983	43.09959	557.4	817.0	149999	72.969124	20.259134	72.96932	20.257345	-73.82283	1.5800065	1759.941650390625
31	664.4848	218.74818	938.2078	303.33112	901.0124	65.30774	1009.01276	793.8428	724.0	1000.0	154999	73.419334	20.226976	73.4193	20.225187	-74.26404	1.7087549	1822.571457862854
32	814.35443	113.7366	949.79926	609.45575	508.92813	331.8434	913.75806	24.215225	909.5	597.1	159999	73.93812	20.126047	73.938034	20.12432	-74.73631	1.5429928	1885.321145772934
33	739.5251	114.443596	850.25073	507.1194	850.4543	62.717773	1001.70624	738.77783	888.5	1000.0	164999	74.42055	19.887367	74.420586	19.884659	-75.21116	1.5362698	1946.8351850509644
34	771.9523	156.62114	940.51514	576.13635	816.77325	187.36722	994.76294	31.756878	848.2	954.3	169999	75.08104	19.798126	75.08104	19.795761	-75.90955	1.5540854	2009.7113089561462
35	840.39923	87.000015	931.8135	694.81396	707.82983	324.09583	998.41833	27.150993	940.6667	813.25	174999	75.61873	19.64102	75.61878	19.639044	-76.41044	1.5857818	2072.8070211410522
36	854.1066	62.216793	929.96545	789.1154	730.368	229.62921	983.87427	27.223902	1000.0	907.75	179999	75.99859	19.285885	75.998634	19.283854	-76.765175	1.4543326	2135.732085466385
37	702.68066	145.75671	848.53186	478.83667	781.37244	33.85777	820.9067	703.69293	865.6667	1000.0	184999	76.414116	18.88628	76.414	18.884727	-77.14654	1.4458458	2197.1772758960724
38	879.54395	49.789413	956.56555	817.38385	763.7245	233.83066	1001.84375	24.867222	1000.0	912.3	189999	76.69393	18.544245	76.693855	18.543331	-77.422844	1.427548	2259.821695804596
39	693.1782	327.79523	931.42896	42.81503	690.9711	250.61853	1012.0008	-5.9903216	757.8333	908.6	194999	77.22358	18.269037	77.22354	18.265284	-77.94941	1.4581296	2322.6064224243164
40	885.3123	104.05143	983.115	684.3576	714.203	323.67572	1008.0112	73.90075	1000.0	787.3	199999	77.74496	18.0016	77.74496	17.99967	-78.41369	1.4249724	2385.275238275528
41	693.151	268.32852	984.3111	222.14073	739.06995	227.54619	1003.8537	99.512	766.7143	882.45	204999	78.04765	17.957296	78.047485	17.955923	-78.745026	1.3765073	2447.534694671631
42	703.6855	278.9667	971.4138	184.01791	762.14386	125.65552	1008.74756	613.3306	819.1667	1000.0	209999	78.3603	17.958313	78.36036	17.955795	-78.99533	1.4212414	2509.668925523758
43	840.45935	98.870865	968.1259	707.89264	873.59375	201.89389	1001.02203	223.39072	1000.0	927.5	214999	78.57381	17.907303	78.57381	17.904408	-79.24189	1.4794484	2572.4227442741394
44	923.19434	33.493744	965.63324	863.7046	894.827	85.12086	1022.17523	823.38	1000.0	1000.0	219999	78.898964	17.681849	78.8991	17.678488	-79.553986	1.4342086	2635.344209909439
45	840.52313	125.55108	965.12134	609.9175	886.3805	63.505802	1005.7836	816.1615	1000.0	1000.0	224999	79.399765	17.34622	79.3997	17.343407	-80.0714	1.3649596	2697.8411133289337
46	874.07733	55.665188	954.4792	792.7719	849.478	180.41048	1017.35046	304.30994	1000.0	933.6	229999	79.94447	17.068165	79.944466	17.064135	-80.611465	1.4212937	2759.897336244583
47	875.20166	60.6538	968.24963	800.3585	889.3179	205.81721	1013.3687	8.413902	1000.0	953.8	234999	80.646255	16.846556	80.64617	16.844652	-81.315414	1.3438146	2822.566423892975
48	450.89865	399.6013	913.4945	47.30412	537.0674	337.1638	911.16785	15.225111	477.33334	649.05	239999	81.556465	16.812649	81.55656	16.809502	-82.241356	1.4027599	2885.2689023017883
49	451.74622	295.87555	875.66473	28.229485	360.56363	274.37708	1009.04596	111.11632	480.33334	348.85	244999	82.429695	16.913813	82.429665	16.909475	-83.115685	1.5311642	2947.5138046741486
50	472.42316	303.1451	940.0046	99.719666	701.76294	339.12045	1002.2962	27.45739	493.4	779.1	249999	83.104	17.185957	83.10401	17.182678	-83.76343	1.6370615	3008.8899562358856
